ref_name,ab_name,control_var_name,control_ic50,test_var_name,test_ic50,fold_cmp,fold,as_wildtype,assay_name,test_ic50_cmp,control_ic50_cmp
Zhou21e,Adintrevimab,B.1,5.1,Omicron,2037.0,=,399.4,1,Pseudovirus (lentivirus),=,=
Zhou21e,C135,B.1,10.8,Omicron,10000.0,>,925.9,1,Pseudovirus (lentivirus),>,=
Zhou21e,C144,B.1,5.1,Omicron,10000.0,>,1960.8,1,Pseudovirus (lentivirus),>,=
Zhou21e,Etesevimab,B.1,50.5,Omicron,10000.0,>,198.0,1,Pseudovirus (lentivirus),>,=
Zhou21e,Cilgavimab,B.1,3.7,Omicron,5850.0,=,1581.1,1,Pseudovirus (lentivirus),=,=
Zhou21e,Tixagevimab,B.1,2.0,Omicron,269.0,=,134.5,1,Pseudovirus (lentivirus),=,=
Zhou21e,Regdanvimab,B.1,1.5,Omicron,10000.0,>,6666.7,1,Pseudovirus (lentivirus),>,=
Zhou21e,Bamlanivimab,B.1,3.6,Omicron,10000.0,>,2777.8,1,Pseudovirus (lentivirus),>,=
Zhou21e,LY3853113,B.1,3.0,Omicron,5.1,=,1.7,1,Pseudovirus (lentivirus),=,=
Zhou21e,Casirivimab,B.1,6.1,Omicron,10000.0,>,1639.3,1,Pseudovirus (lentivirus),>,=
Zhou21e,Imdevimab,B.1,20.0,Omicron,10000.0,>,500.0,1,Pseudovirus (lentivirus),>,=
Zhou21e,Sotrovimab,B.1,36.1,Omicron,281.0,=,7.8,1,Pseudovirus (lentivirus),=,=
Dejnirattisai21c,Adintrevimab,B,4.0,Omicron,1104.0,=,276.0,1,Virus isolate,=,=
Dejnirattisai21c,Cilgavimab,B,13.0,Omicron,3488.0,=,268.3,1,Virus isolate,=,=
Dejnirattisai21c,Cilgavimab/Tixagevimab,B,9.0,Omicron,273.0,=,30.3,1,Virus isolate,=,=
Dejnirattisai21c,Tixagevimab,B,4.0,Omicron,1152.0,=,288.0,1,Virus isolate,=,=
Dejnirattisai21c,Bamlanivimab,B,6.0,Omicron,10000.0,>,1666.7,1,Virus isolate,>,=
Dejnirattisai21c,Etesevimab,B,34.0,Omicron,10000.0,>,294.1,1,Virus isolate,>,=
Dejnirattisai21c,Casirivimab,B,4.0,Omicron,10000.0,>,2500.0,1,Virus isolate,>,=
Dejnirattisai21c,Imdevimab,B,32.0,Omicron,10000.0,>,312.5,1,Virus isolate,>,=
Dejnirattisai21c,Sotrovimab,B,40.0,Omicron,256.0,=,6.4,1,Virus isolate,=,=
AstraZenica21c,Cilgavimab,B,7.5,Omicron,1000.0,>,133.3,1,Pseudovirus (Monogram),>,=
AstraZenica21c,Cilgavimab,B,4.124,Omicron,1600.0,>,388.0,1,Pseudovirus (FDA),>,=
AstraZenica21c,Cilgavimab/Tixagevimab,B,1.3,Omicron,171.1,=,131.6,1,Pseudovirus (Monogram),=,=
AstraZenica21c,Cilgavimab/Tixagevimab,B,1.51,Omicron,276.7,=,183.2,1,Pseudovirus (FDA),=,=
AstraZenica21c,Tixagevimab,B,1.3,Omicron,799.8,=,615.2,1,Pseudovirus (Monogram),=,=
AstraZenica21c,Tixagevimab,B,1.641,Omicron,1600.0,>,975.0,1,Pseudovirus (FDA),>,=
Cameroni21,Bamlanivimab/Etesevimab,B,21.0,Omicron,10000.0,>,476.2,1,Pseudovirus (VSV),>,=
Cameroni21,Bamlanivimab,B,21.3,Omicron,10000.0,>,469.5,1,Pseudovirus (VSV),>,=
Cameroni21,Casirivimab/Imdevimab,B,8.0,Omicron,10000.0,>,1250.0,1,Pseudovirus (VSV),>,=
Cameroni21,Cilgavimab/Tixagevimab,B,4.0,Omicron,400.0,=,100.0,1,Pseudovirus (VSV),=,=
Cameroni21,Casirivimab,B,8.9,Omicron,10000.0,>,1123.6,1,Pseudovirus (VSV),>,=
Cameroni21,Cilgavimab,B,8.1,Omicron,2772.0,=,342.2,1,Pseudovirus (VSV),=,=
Cameroni21,Etesevimab,B,59.2,Omicron,10000.0,>,168.9,1,Pseudovirus (VSV),>,=
Cameroni21,Imdevimab,B,25.1,Omicron,10000.0,>,398.4,1,Pseudovirus (VSV),>,=
Cameroni21,Regdanvimab,B,4.3,Omicron,10000.0,>,2325.6,1,Pseudovirus (VSV),>,=
Cameroni21,Sotrovimab,B,90.6,Omicron,260.1,=,2.9,1,Pseudovirus (VSV),=,=
Cameroni21,Tixagevimab,B,4.3,Omicron,10000.0,>,2325.6,1,Pseudovirus (VSV),>,=
Cameroni21,Vir-7832,B,53.2,Omicron,164.6,=,3.1,1,Pseudovirus (VSV),=,=
Cao21,Cilgavimab,B.1,1.0,Omicron,10000.0,>,10000.0,1,Pseudovirus (VSV),>,=
Cao21,Tixagevimab,B.1,1.0,Omicron,6860.0,=,6860.0,1,Pseudovirus (VSV),=,=
Cao21,BRII-196,B.1,53.0,Omicron,7258.0,=,136.9,1,Pseudovirus (VSV),=,=
Cao21,DXP-604,B.1,10.0,Omicron,287.0,=,28.7,1,Pseudovirus (VSV),=,=
Cao21,Etesevimab,B.1,32.0,Omicron,10000.0,>,312.5,1,Pseudovirus (VSV),>,=
Cao21,Bamlanivimab,B.1,13.0,Omicron,10000.0,>,769.2,1,Pseudovirus (VSV),>,=
Cao21,Casirivimab,B.1,5.0,Omicron,10000.0,>,2000.0,1,Pseudovirus (VSV),>,=
Cao21,Imdevimab,B.1,5.0,Omicron,10000.0,>,2000.0,1,Pseudovirus (VSV),>,=
Cao21,Sotrovimab,B.1,58.0,Omicron,181.0,=,3.1,1,Pseudovirus (VSV),=,=
Hoffmann21d,Bamlanivimab,B.1,6.0,Omicron,10000.0,>,1666.7,1,Pseudovirus (VSV),>,=
Hoffmann21d,Bamlanivimab/Etesevimab,B.1,5.0,Omicron,10000.0,>,2000.0,1,Pseudovirus (VSV),>,=
Hoffmann21d,Casirivimab,B.1,4.0,Omicron,963.0,=,240.8,1,Pseudovirus (VSV),=,=
