Variant name,Plasma,S,I,R,Reference
B.1.1.7,AZD1222,10,0,0,Supasa21*
B.1.1.7,BNT162b2,8,0,0,Brown21
B.1.1.7,BNT162b2,8,1,0,Brown21*
B.1.1.7,BNT162b2,21,0,0,Collier21
B.1.1.7,BNT162b2,20,4,0,Diamond21*
B.1.1.7,BNT162b2,15,0,0,Hoffmann21
B.1.1.7,BNT162b2,17,12,0,Marot21*
B.1.1.7,BNT162b2,40,0,0,Muik21
B.1.1.7,BNT162b2,8,2,0,Planas21
B.1.1.7,BNT162b2,0,25,0,Supasa21*
B.1.1.7,BNT162b2,9,1,0,Wang21b
B.1.1.7,BNT162b2,10,0,0,Wang21b*
B.1.1.7,CP,5,0,0,Brown21
B.1.1.7,CP,8,0,0,Brown21*
B.1.1.7,CP,0,27,0,Collier21
B.1.1.7,CP,18,1,0,Diamond21*
B.1.1.7,CP,16,4,0,Edara21*
B.1.1.7,CP,27,3,0,Faulkner21*
B.1.1.7,CP,8,1,0,Hoffmann21
B.1.1.7,CP,13,5,1,Hu21
B.1.1.7,CP,6,3,0,Marot21*
B.1.1.7,CP,13,2,0,Shen21
B.1.1.7,CP,34,0,0,Supasa21*
B.1.1.7,CP,14,5,1,Wang21b
B.1.1.7,CP,20,0,0,Wang21b*
B.1.1.7,CP,23,0,1,Wang21f
B.1.1.7,CP(8M),11,8,0,Hu21
B.1.1.7,NVX-CoV,20,7,1,Shen21
B.1.1.7,mRNA-1273,14,0,0,Edara21*
B.1.1.7,mRNA-1273,30,10,0,Shen21
B.1.1.7,mRNA-1273,12,0,0,Wang21b
B.1.1.7,mRNA-1273,12,0,0,Wang21b*
B.1.1.7,mRNA-1273,8,0,0,Wu21
B.1.351,BNT162b2,1,3,2,Becker21*
B.1.351,BNT162b2,0,12,12,Diamond21*
B.1.351,BNT162b2,4,9,2,Hoffmann21
B.1.351,BNT162b2,15,5,0,Liu21b
B.1.351,BNT162b2,3,23,3,Marot21*
B.1.351,BNT162b2,3,6,1,Planas21
B.1.351,BNT162b2,2,3,0,Tada21
B.1.351,BNT162b2,4,4,1,Wang21b
B.1.351,BNT162b2,0,5,4,Wang21b*
B.1.351,CP,3,1,3,Becker21*
B.1.351,CP,9,7,3,Diamond21*
B.1.351,CP,1,18,9,Faulkner21*
B.1.351,CP,4,4,1,Hoffmann21
B.1.351,CP,4,9,6,Hu21
B.1.351,CP,0,8,1,Marot21*
B.1.351,CP,5,10,29,Moyo-Gwete21
B.1.351,CP,9,1,0,Tada21
B.1.351,CP,4,9,7,Wang21b
B.1.351,CP,6,9,5,Wang21b*
B.1.351,CP,3,7,14,Wang21f
B.1.351,CP(8M),5,9,5,Hu21
B.1.351,CP(High Titer),1,7,14,Wibmer21
B.1.351,CP(Low Titer),4,2,7,Wibmer21
B.1.351,CP(WT),0,2,4,Cele21*
B.1.351,mRNA-1273,1,8,3,Wang21b
B.1.351,mRNA-1273,0,5,7,Wang21b*
B.1.351,mRNA-1273,0,8,0,Wu21
CAL.20C,BNT162b2,3,0,0,Deng21
CAL.20C,CP,7,10,1,Deng21
CAL.20C,mRNA-1273,7,1,0,Deng21
P.1,BNT162b2,12,3,0,Diamond21*
P.1,BNT162b2,7,7,1,Hoffmann21
P.1,BNT162b2,8,1,1,Wang21c
P.1,CP,7,2,1,Diamond21*
P.1,CP,2,6,1,Hoffmann21
P.1,CP,12,7,1,Wang21c
P.1,CP,15,5,4,Wang21f
P.1,mRNA-1273,5,7,0,Wang21c
