mab,results,avail,target,pdb
Casirivimab,172,Phase 3,RBD,6XDG
Imdevimab,169,Phase 3,RBD,6XDG
Etesevimab,167,Phase 3,RBD,7C01
Casirivimab/Imdevimab,120,Phase 3,RBD,6XDG
Sotrovimab,81,Phase 3,RBD,6WPS
Bamlanivimab,70,Phase 3,RBD,7KMG
Bamlanivimab/Etesevimab,54,Phase 3,RBD,7KMG
Cilgavimab,39,Phase 3,RBD,7L7E
Tixagevimab,39,Phase 3,RBD,7L7D
Cilgavimab/Tixagevimab,36,Phase 3,RBD,7L7E
Vir-7831,28,Phase 3,RBD,6WPS
REGN10989/10987,24,Phase 3,RBD,6XDG
CAS,2,Phase 3,RBD,6XDG
IMD,1,Phase 3,RBD,6XDG
BRII-196,20,Phase 3,,
BRII-198,20,Phase 3,,
BRII-196/BRII-198,8,Phase 3,,
Regdanvimab,1,Phase 3,,7CM4
C135,71,Phase 1,RBD,7K8Z
C144,52,Phase 1,RBD,7K90
JMB2002,12,Phase 1,RBD,
C144+C135,10,Phase 1,RBD,7K8Z
ADG20,3,Phase 1,,
P2C-1F11,109,,RBD,7CDI
B38,88,,RBD,7BZ5
P2B-2F6,88,,RBD,7BWJ
H014,82,,RBD,7CAH
S2E12,76,,RBD,7K4N
C121,67,,RBD,7K8X
S2M11,58,,RBD,7K43
COVA1-16,35,,RBD,7JMW
Vir-7831+S2E12,27,,RBD,7K4N
P2B-1G5,27,,RBD,
BD-368-2,24,,RBD,7CHH
P5A-3C8,23,,RBD,
A19-46.1,22,,RBD,
A19-61.1,22,,RBD,
A23-58.1,22,,RBD,
B1-182.1,22,,RBD,
P22A-1D1,22,,RBD,
P5A-1B9,22,,RBD,
P5A-1D2,22,,RBD,
2-4,20,,RBD,6XEY
2-43,20,,RBD,
S2X259,12,,RBD,
S2H58,8,,RBD,
COVA2-04,7,,RBD,7JMO
DH1047,6,,RBD,7LD1
S2H14,6,,RBD,7JX3
COVA2-39,4,,RBD,7JMP
BD-629,4,,RBD,7CH5
S2D106,3,,RBD,
S2D19,3,,RBD,
S2D32,3,,RBD,
S2D8,3,,RBD,
S2D97,3,,RBD,
S2H7,3,,RBD,
S2H70,3,,RBD,
S2H71,3,,RBD,
S2H94,3,,RBD,
S2H97,3,,RBD,
S2N12,3,,RBD,
S2N22,3,,RBD,
S2N28,3,,RBD,
S2X128,3,,RBD,
S2X30,3,,RBD,
S2X305,3,,RBD,
S2X58,3,,RBD,
S2X608,3,,RBD,
S2X609,3,,RBD,
S2X615,3,,RBD,
S2X619,3,,RBD,
S2X35,2,,RBD,7JXE
CV30,2,,RBD,6XE1
CV2-75,2,,RBD,
CV3-1,2,,RBD,
S2D65,2,,RBD,
S2E11,2,,RBD,
S2E13,2,,RBD,
S2E16,2,,RBD,
S2E23,2,,RBD,
S2H19,2,,RBD,
S2H90,2,,RBD,
S2K15,2,,RBD,
S2K21,2,,RBD,
S2K30,2,,RBD,
S2K63v2,2,,RBD,
S2L17,2,,RBD,
S2L49,2,,RBD,
S2X16,2,,RBD,
S2X192,2,,RBD,
S2X227,2,,RBD,
S2X246,2,,RBD,
S2X324,2,,RBD,
S2X450,2,,RBD,
S2X475,2,,RBD,
S2X607,2,,RBD,
S2X613,2,,RBD,
S2X620,2,,RBD,
CV07-270,1,,RBD,6XKP
CC12.3,1,,RBD,6XC4
CC12.1,1,,RBD,6XC2
4A8,46,,NTD,7C2L
4-8,26,,NTD,
S2M28,9,,NTD,
S2X28,9,,NTD,
S2X333,5,,NTD,
S2L50,2,,NTD,
S2L26,1,,NTD,
S2X107,1,,NTD,
S2X124,1,,NTD,
S2X158,1,,NTD,
S2X303,1,,NTD,
H4,88,,,
157,82,,,
247,82,,,
261-262,82,,,
AB35,82,,,
CA1,82,,,
H00S022,82,,,
X503,82,,,
1B07,34,,,
REGN10989,32,,,
2B04,29,,,
2H04,29,,,
SARS2-01,29,,,
SARS2-02,29,,,
SARS2-07,29,,,
SARS2-16,29,,,
SARS2-19,29,,,
SARS2-32,29,,,
SARS2-38,29,,,
5-24,26,,,7L2F
5-7,25,,,
2-17,24,,,
4-19,23,,,
REGN10989/10934,22,,,
1-57,21,,,
2-36,21,,,
2-7,21,,,
COVA1-18,21,,,
910-30,20,,,7KS9
1-20,20,,,
2-15,20,,,
2-30,20,,,
2-38,20,,,
4-20,20,,,
REGN10985,20,,,
COVA2-07,16,,,
COVA1-12,15,,,
COVA1-21,15,,,
COVA2-17,15,,,
COVA2-02,12,,,
COVA2-29,12,,,
C601,11,,,
C602,11,,,
C603,11,,,
C613,11,,,
C614,11,,,
C627,11,,,
C628,11,,,
C643,11,,,
C653,11,,,
C660,11,,,
C663,11,,,
C666,11,,,
C669,11,,,
C670,11,,,
C671,11,,,
C675,11,,,
C682,11,,,
COV2-2072,10,,,
COV2-3025,10,,,
REGN10934,10,,,
SARS2-10,10,,,
SARS2-3,10,,,
SARS2-31,10,,,
SARS2-44,10,,,
COV2-2381,9,,,
COVOX-40,9,,,
COV2-2676,8,,,
COVA2-15,7,,,
S2L28,7,,,
DH1041,6,,,7LAA
COV2-2165,6,,,
COV2-2832,6,,,
DH1042,6,,,
DH1043,6,,,
Vir-7832,6,,,
4-18,5,,,
COV2-2050,5,,,
COV2-2082,5,,,
