Variant name,Plasma,S,I,R,Reference
B.1.1.7,AZD1222,3,23,23,Emary21*
B.1.1.7,BNT162b2,8,0,0,Brown21
B.1.1.7,BNT162b2,8,1,0,Brown21*
B.1.1.7,BNT162b2,20,4,0,Chen21*
B.1.1.7,BNT162b2,15,0,0,Hoffmann21
B.1.1.7,BNT162b2,16,10,3,Marot21*
B.1.1.7,BNT162b2,40,0,0,Muik21
B.1.1.7,BNT162b2,9,1,0,Wang21b
B.1.1.7,BNT162b2,10,0,0,Wang21b*
B.1.1.7,BNT162b2,0,2,1,Widera21*
B.1.1.7,BNT162b2_W2,8,7,0,Planas21
B.1.1.7,BNT162b2_W3,11,4,1,Planas21
B.1.1.7,BNT162b2_W4,8,2,0,Planas21
B.1.1.7,BNT162b2_W5,13,0,0,Planas21
B.1.1.7,BNT162b2_W6,13,0,0,Planas21
B.1.1.7,CP,5,0,0,Brown21
B.1.1.7,CP,8,0,0,Brown21*
B.1.1.7,CP,18,1,0,Chen21*
B.1.1.7,CP,19,0,0,Edara21*
B.1.1.7,CP,27,3,0,Faulkner21*
B.1.1.7,CP,8,1,0,Hoffmann21
B.1.1.7,CP,13,5,1,Hu21
B.1.1.7,CP,5,2,2,Marot21*
B.1.1.7,CP,13,2,0,Shen21
B.1.1.7,CP,3,3,3,Skelly21
B.1.1.7,CP,3,5,0,Tang21
B.1.1.7,CP,14,5,1,Wang21b
B.1.1.7,CP,20,0,0,Wang21b*
B.1.1.7,CP,23,0,1,Wang21f
B.1.1.7,CP,1,2,7,Widera21*
B.1.1.7,CP(8M),11,8,0,Hu21
B.1.1.7,CP_M3,27,1,0,Planas21
B.1.1.7,CP_M6,21,4,0,Planas21
B.1.1.7,CP_M9,30,0,0,Planas21
B.1.1.7,CP_acute,15,1,0,Edara21*
B.1.1.7,IVIG,6,0,0,Tang21
B.1.1.7,IVIG,6,0,0,Tang21*
B.1.1.7,NVX-CoV,20,7,1,Shen21
B.1.1.7,mRNA-1273,14,0,0,Edara21*
B.1.1.7,mRNA-1273,4,0,0,Garcia-Beltran21
B.1.1.7,mRNA-1273,30,10,0,Shen21
B.1.1.7,mRNA-1273,12,0,0,Wang21b
B.1.1.7,mRNA-1273,12,0,0,Wang21b*
B.1.1.7,mRNA-1273,8,0,0,Wu21
B.1.351,AZD1222,0,3,22,Madhi21
B.1.351,AZD1222,2,11,12,Zhou21b*
B.1.351,BNT162b2,1,3,2,Becker21*
B.1.351,BNT162b2,0,12,12,Chen21*
B.1.351,BNT162b2,4,9,2,Hoffmann21
B.1.351,BNT162b2,15,5,0,Liu21b
B.1.351,BNT162b2,3,19,7,Marot21*
B.1.351,BNT162b2,2,3,0,Tada21
B.1.351,BNT162b2,4,4,1,Wang21b
B.1.351,BNT162b2,0,5,4,Wang21b*
B.1.351,BNT162b2,0,3,0,Widera21*
B.1.351,BNT162b2,1,14,9,Zhou21b*
B.1.351,BNT162b2_W2,6,7,2,Planas21
B.1.351,BNT162b2_W3,4,6,6,Planas21
B.1.351,BNT162b2_W4,3,6,1,Planas21
B.1.351,BNT162b2_W5,3,3,7,Planas21
B.1.351,BNT162b2_W6,2,6,5,Planas21
B.1.351,CP,3,1,3,Becker21*
B.1.351,CP,9,7,3,Chen21*
B.1.351,CP,1,11,16,Faulkner21*
B.1.351,CP,4,4,1,Hoffmann21
B.1.351,CP,4,9,6,Hu21
B.1.351,CP,0,2,6,Marot21*
B.1.351,CP,5,10,29,Moyo-Gwete21
B.1.351,CP,1,1,7,Skelly21
B.1.351,CP,9,1,0,Tada21
B.1.351,CP,1,1,6,Tang21
B.1.351,CP,4,9,7,Wang21b
B.1.351,CP,6,9,5,Wang21b*
B.1.351,CP,3,7,14,Wang21f
B.1.351,CP,0,2,8,Widera21*
B.1.351,CP,3,11,20,Zhou21b*
B.1.351,CP(8M),5,9,5,Hu21
B.1.351,CP(High Titer),1,7,14,Wibmer21
B.1.351,CP(Low Titer),4,2,7,Wibmer21
B.1.351,CP(WT),0,2,4,Cele21*
B.1.351,CP_M3,12,11,5,Planas21
B.1.351,CP_M6,12,6,7,Planas21
B.1.351,CP_M9,18,12,0,Planas21
B.1.351,IVIG,0,3,3,Tang21
B.1.351,IVIG,1,4,1,Tang21*
B.1.351,mRNA-1273,1,8,3,Wang21b
B.1.351,mRNA-1273,0,5,7,Wang21b*
B.1.351,mRNA-1273,0,8,0,Wu21
B.1.427/9,BNT162b2,3,0,0,Deng21
B.1.427/9,CP,7,10,1,Deng21
B.1.427/9,CP,6,2,0,Tang21
B.1.427/9,IVIG,6,0,0,Tang21
B.1.427/9,mRNA-1273,7,1,0,Deng21
B.1.427/9,mRNA-1273,3,1,0,Garcia-Beltran21
P.1,AZD1222,17,7,1,Dejnirattisai21*
P.1,BNT162b2,12,3,0,Chen21*
P.1,BNT162b2,14,10,0,Dejnirattisai21*
P.1,BNT162b2,7,7,1,Hoffmann21
P.1,BNT162b2,8,1,1,Wang21c
P.1,CP,7,2,1,Chen21*
P.1,CP,18,14,2,Dejnirattisai21*
P.1,CP,2,6,1,Hoffmann21
P.1,CP,4,2,2,Tang21
P.1,CP,12,7,1,Wang21c
P.1,CP,15,5,4,Wang21f
P.1,IVIG,2,4,0,Tang21
P.1,mRNA-1273,0,0,4,Garcia-Beltran21
P.1,mRNA-1273,5,7,0,Wang21c
