Strain name,CP name,Resistance level,#Published,Reference
B.1.1.7,BNT162b2_1M,susceptible,40,Muik21
B.1.1.7,BNT162b2_3Weeks,susceptible,5,Collier21
B.1.1.7,BNT162b2_3Weeks,partial,10,Collier21
B.1.1.7,CP,susceptible,16,Edara21
B.1.1.7,CP,partial,4,Edara21
B.1.1.7,CP,susceptible,14,Wang21b
B.1.1.7,CP,partial,5,Wang21b
B.1.1.7,CP,resistance,1,Wang21b
B.1.1.7,CP_1M,susceptible,13,Shen21
B.1.1.7,CP_1M,partial,2,Shen21
B.1.1.7,CP_5-33d,susceptible,13,Hu21
B.1.1.7,CP_5-33d,partial,5,Hu21
B.1.1.7,CP_5-33d,resistance,1,Hu21
B.1.1.7,CP_8mon,susceptible,11,Hu21
B.1.1.7,CP_8mon,partial,8,Hu21
B.1.1.7,Hospitalized_Samples,susceptible,16,Rees-Spear21
B.1.1.7,Hospitalized_Samples,partial,2,Rees-Spear21
B.1.1.7,Mild_Samples,susceptible,14,Rees-Spear21
B.1.1.7,Mild_Samples,partial,4,Rees-Spear21
B.1.1.7,Mod_1M,susceptible,30,Shen21
B.1.1.7,Mod_1M,partial,10,Shen21
B.1.1.7,Moderna_36d,susceptible,8,Wu21
B.1.1.7,Moderna_D43,susceptible,12,Wang21b
B.1.1.7,NVV_1M,susceptible,20,Shen21
B.1.1.7,NVV_1M,partial,7,Shen21
B.1.1.7,NVV_1M,resistance,1,Shen21
B.1.1.7,Pfizer_BNT162b2_D28,susceptible,9,Wang21b
B.1.1.7,Pfizer_BNT162b2_D28,partial,1,Wang21b
B.1.1.7,mRNA-1273,susceptible,14,Edara21
B.1.351,BNT162b2_1M,susceptible,2,Tada21
B.1.351,BNT162b2_1M,partial,3,Tada21
B.1.351,CP,susceptible,9,Tada21
B.1.351,CP,partial,1,Tada21
B.1.351,CP,susceptible,4,Wang21b
B.1.351,CP,partial,9,Wang21b
B.1.351,CP,resistance,7,Wang21b
B.1.351,CP_5-33d,susceptible,4,Hu21
B.1.351,CP_5-33d,partial,9,Hu21
B.1.351,CP_5-33d,resistance,6,Hu21
B.1.351,CP_8mon,susceptible,5,Hu21
B.1.351,CP_8mon,partial,9,Hu21
B.1.351,CP_8mon,resistance,5,Hu21
B.1.351,CP_Titer_GT400,susceptible,1,Wibmer21
B.1.351,CP_Titer_GT400,partial,7,Wibmer21
B.1.351,CP_Titer_GT400,resistance,14,Wibmer21
B.1.351,CP_Titer_LT400,susceptible,6,Wibmer21
B.1.351,CP_Titer_LT400,partial,9,Wibmer21
B.1.351,CP_Titer_LT400,resistance,7,Wibmer21
B.1.351,Moderna_36d,partial,8,Wu21
B.1.351,Moderna_D43,susceptible,1,Wang21b
B.1.351,Moderna_D43,partial,8,Wang21b
B.1.351,Moderna_D43,resistance,3,Wang21b
B.1.351,Pfizer_BNT162b2_D28,susceptible,4,Wang21b
B.1.351,Pfizer_BNT162b2_D28,partial,4,Wang21b
B.1.351,Pfizer_BNT162b2_D28,resistance,2,Wang21b
