Variant name,Rx name,#Published
N501Y,CP,148
N501Y,IP,116
N501Y,mAbs phase3,51
N501Y,mAbs structure,17
E484K,CP,88
E484K,IP,57
E484K,mAbs phase3,54
E484K,mAbs structure,8
Other individual mutations,CP,609
Other individual mutations,IP,476
Other individual mutations,mAbs phase3,619
Other individual mutations,mAbs structure,466
All individual mutations,CP,845
All individual mutations,IP,641
All individual mutations,mAbs phase3,716
All individual mutations,mAbs structure,490
B.1.1.7,CP,450
B.1.1.7,IP,510
B.1.1.7,mAbs phase3,67
B.1.1.7,mAbs structure,23
B.1.351,CP,343
B.1.351,IP,292
B.1.351,mAbs phase3,51
B.1.351,mAbs structure,6
P.1,CP,105
P.1,IP,124
P.1,mAbs phase3,25
P.1,mAbs structure,3
B.1.427/9,CP,32
B.1.427/9,IP,37
B.1.427/9,mAbs phase3,3
B.1.427/9,mAbs structure,0
B.1.526,CP,0
B.1.526,IP,0
B.1.526,mAbs phase3,3
B.1.526,mAbs structure,0
Other combinations of mutations,CP,575
Other combinations of mutations,IP,614
Other combinations of mutations,mAbs phase3,156
Other combinations of mutations,mAbs structure,150
All combinations of mutations,CP,1505
All combinations of mutations,IP,1585
All combinations of mutations,mAbs phase3,313
All combinations of mutations,mAbs structure,183
