Strain name,Rx name,#Published
N501Y,CP,57
N501Y,IP,79
N501Y,mAbs phase3,15
N501Y,mAbs structure,28
E484K,CP,68
E484K,IP,32
E484K,mAbs phase3,20
E484K,mAbs structure,27
Other individual mutations,CP,413
Other individual mutations,IP,413
Other individual mutations,mAbs phase3,275
Other individual mutations,mAbs structure,771
All individual mutations,CP,538
All individual mutations,IP,524
All individual mutations,mAbs phase3,310
All individual mutations,mAbs structure,826
B.1.1.7,CP,85
B.1.1.7,IP,154
B.1.1.7,mAbs phase3,22
B.1.1.7,mAbs structure,36
B.1.351,CP,118
B.1.351,IP,35
B.1.351,mAbs phase3,20
B.1.351,mAbs structure,26
B.1.1.7 + B.1.351,CP,203
B.1.1.7 + B.1.351,IP,189
B.1.1.7 + B.1.351,mAbs phase3,42
B.1.1.7 + B.1.351,mAbs structure,62
Other muation combinations,CP,144
Other muation combinations,IP,159
Other muation combinations,mAbs phase3,59
Other muation combinations,mAbs structure,194
1 mutation,mAbs without structure,1371
1 mutation,CP,538
1 mutation,VP,524
mutation combination,mAbs without structure,270
mutation combination,CP,144
mutation combination,VP,159
VOC,mAbs without structure,121
VOC,CP,203
VOC,VP,189
