Ref,section,rx_name,ab_name,control_var_name,WT,control_upper_ic50,as_wildtype,assay_name,assay_name,mAb,cellline,assay
Aggarwal21,Table 2,Bamlanivimab,Bamlanivimab,A.2.2,32,10000,1,Virus isolate,AV,BAM,Vero,
Aggarwal21,Table 2,Casirivimab,Casirivimab,A.2.2,27,10000,1,Virus isolate,AV,CAS,Vero,
Aggarwal21,Table 2,Cilgavimab,Cilgavimab,A.2.2,18,10000,1,Virus isolate,AV,CIL,Vero,
Aggarwal21,Table 2,Imdevimab,Imdevimab,A.2.2,25,10000,1,Virus isolate,AV,IMD,Vero,
Aggarwal21,Table 2,Sotrovimab,Sotrovimab,A.2.2,372,10000,1,Virus isolate,AV,SOT,Vero,
Aggarwal21,Table 2,Tixagevimab,Tixagevimab,A.2.2,47,10000,1,Virus isolate,AV,TIX,Vero,
Ai22,Figure 3A,ADG-2,Adintrevimab,B,2.6,10000,1,Pseudovirus (VSV),PV,ADG20,Vero,
Ai22,Figure 3A,BRII-196,Amubarvimab,B,9,10000,1,Pseudovirus (VSV),PV,BRII-196,Vero,
Ai22,Figure 3A,CB6,Etesevimab,B,7,10000,1,Pseudovirus (VSV),PV,ETE,Vero,
Ai22,Figure 3A,COV2-2130,Cilgavimab,B,1,10000,1,Pseudovirus (VSV),PV,CIL,Vero,
Ai22,Figure 3A,COV2-2196,Tixagevimab,B,1,10000,1,Pseudovirus (VSV),PV,TIX,Vero,
Ai22,Figure 3A,CT-P59,Regdanvimab,B,1,10000,1,Pseudovirus (VSV),PV,REG,Vero,
Ai22,Figure 3A,LY-CoV1404,Bebtelovimab,B,1.5,10000,1,Pseudovirus (VSV),PV,BEB,Vero,
Ai22,Figure 3A,LY-CoV555,Bamlanivimab,B,3,10000,1,Pseudovirus (VSV),PV,BAM,Vero,
Ai22,Figure 3A,REGN10933,Casirivimab,B,2,10000,1,Pseudovirus (VSV),PV,CAS,Vero,
Ai22,Figure 3A,REGN10987,Imdevimab,B,3,10000,1,Pseudovirus (VSV),PV,IMD,Vero,
Ai22,Figure 3A,S309,Sotrovimab,B,9,10000,1,Pseudovirus (VSV),PV,SOT,Vero,
AstraZenica21c,Excel table,AZD1061,Cilgavimab,B,4.124,1600,1,Pseudovirus (FDA),PV,CIL,293T,ACE2-TMPRSS2
AstraZenica21c,Excel table,AZD1061,Cilgavimab,B,7.5,1000,1,Pseudovirus (Monogram),PV,CIL,293T,ACE2-TMPRSS2
AstraZenica21c,Excel table,AZD7442,Cilgavimab/Tixagevimab,B,1.51,1600,1,Pseudovirus (FDA),PV,CIL/TIX,293T,ACE2-TMPRSS2
AstraZenica21c,Excel table,AZD7442,Cilgavimab/Tixagevimab,B,1.3,1000,1,Pseudovirus (Monogram),PV,CIL/TIX,293T,ACE2-TMPRSS2
AstraZenica21c,Excel table,AZD8895,Tixagevimab,B,1.641,1600,1,Pseudovirus (FDA),PV,TIX,293T,ACE2-TMPRSS2
AstraZenica21c,Excel table,AZD8895,Tixagevimab,B,1.3,1000,1,Pseudovirus (Monogram),PV,TIX,293T,ACE2-TMPRSS2
Boschi22,Figure 1A,BAM,Bamlanivimab,B.1.1,0.23,10000,1,Virus isolate,AV,BAM,Vero,
Boschi22,Figure 1A,BAM+ETE,Bamlanivimab/Etesevimab,B.1.1,0.53,10000,1,Virus isolate,AV,BAM/ETE,Vero,
Boschi22,Figure 1A,ETE,Etesevimab,B.1.1,5.99,10000,1,Virus isolate,AV,ETE,Vero,
Boschi22,Figure 1B,CAS,Casirivimab,B.1.1,0.74,10000,1,Virus isolate,AV,CAS,Vero,
Boschi22,Figure 1B,IMD,Imdevimab,B.1.1,8.93,10000,1,Virus isolate,AV,IMD,Vero,
Boschi22,Figure 1B,REGN-COV-2,Casirivimab/Imdevimab,B.1.1,0.15,10000,1,Virus isolate,AV,CAS/IMD,Vero,
Boschi22,Figure 1C,CIL,Cilgavimab,B.1.1,0.25,10000,1,Virus isolate,AV,CIL,Vero,
Boschi22,Figure 1C,EvuSheld,Cilgavimab/Tixagevimab,B.1.1,0.07,10000,1,Virus isolate,AV,CIL/TIX,Vero,
Boschi22,Figure 1C,TIX,Tixagevimab,B.1.1,0.07,10000,1,Virus isolate,AV,TIX,Vero,
Bruel22,Table 1,Adintrevimab,Adintrevimab,Delta,4.5,9000,0,Virus isolate,AV,ADG20,U2OS,ACE2
Bruel22,Table 1,Casirivimab,Casirivimab,Delta,0.58,9000,0,Virus isolate,AV,CAS,U2OS,ACE2
Bruel22,Table 1,Cilgavimab,Cilgavimab,Delta,8.5,9000,0,Virus isolate,AV,CIL,U2OS,ACE2
Bruel22,Table 1,Etesevimab,Etesevimab,Delta,3.8,9000,0,Virus isolate,AV,ETE,U2OS,ACE2
Bruel22,Table 1,Evusheld,Cilgavimab/Tixagevimab,Delta,2.6,9000,0,Virus isolate,AV,CIL/TIX,U2OS,ACE2
Bruel22,Table 1,Imdevimab,Imdevimab,Delta,1.2,9000,0,Virus isolate,AV,IMD,U2OS,ACE2
Bruel22,Table 1,Regdanvimab,Regdanvimab,Delta,23,9000,0,Virus isolate,AV,REG,U2OS,ACE2
Bruel22,Table 1,Sotrovimab,Sotrovimab,Delta,280,9000,0,Virus isolate,AV,SOT,U2OS,ACE2
Bruel22,Table 1,Tixagevimab,Tixagevimab,Delta,3.2,9000,0,Virus isolate,AV,TIX,U2OS,ACE2
Cameroni21,"Figure 3b, 3c, Extended Data Table 2",COV2-2130,Cilgavimab,B.1,8.1,10000,1,Pseudovirus (VSV),PV,CIL,Vero,
Cameroni21,"Figure 3b, 3c, Extended Data Table 2",COV2-2196,Tixagevimab,B.1,4.3,10000,1,Pseudovirus (VSV),PV,TIX,Vero,
Cameroni21,"Figure 3b, 3c, Extended Data Table 2",CT-P59,Regdanvimab,B.1,4.3,10000,1,Pseudovirus (VSV),PV,REG,Vero,
