Ref,cell,receptor
FDA21c,,
FDA21e,,
FDA21e,,
FDA22,,
NCATS Brii21,,
Wilhelm21b,,
Chen22,293T,ACE2-TMPRSS2
FDA21c,293T,ACE2-TMPRSS2
FDA22,293T,ACE2
Syed21,293T,
Ikemura21,293T,ACE2
Ju22,293T,ACE2
Sheward22,293T,ACE2
Gruell22,293T,ACE2
Gruell22b,293T,ACE2
Tada21f,293T,ACE2
Wang22b,293T,ACE2
Westendorf21,293T,ACE2
Zhou22,293T,ACE2
Pelzek22,293T,ACE2
Lusvarghi22,293T,ACE2-TMPRSS2
AstraZenica21c,293T,ACE2-TMPRSS2
AstraZenica21c,293T,ACE2-TMPRSS2
Zhou21e,293T,ACE2-TMPRSS2
Meng22,293T,ACE2-TMPRSS2
Yamasoba22,293T,ACE2-TMPRSS2
Wang22c,Huh-7,
Cao21,Huh-7 ,
Cao22,Huh-7 ,
Cui22,Huh-7 ,
Bruel22,U2OS,ACE2
Planas21c,U2OS,ACE2
Case22,Vero,TMPRSS2
Wang22,Vero,
Aggarwal21,Vero ,
Ai22,Vero ,
Boschi22,Vero ,
Cameroni21,Vero ,
Cameroni21,Vero ,
Dejnirattisai22,Vero ,
Duty22,Vero ,
Duty22,Vero ,
Fenwick22,Vero ,
Hoffmann22,Vero ,
Iketani22,Vero ,
Liu21l,Vero ,
Ma22,Vero ,
Rothenberger21,Vero ,
Schulz22,Vero ,
Yuan22,Vero ,
VanBlargan22-2,Vero,ACE2-TMPRSS2
Ohashi22,Vero,TMPRSS2
Takashita22,Vero,TMPRSS2
Takashita22b,Vero,TMPRSS2
Touret22,Vero,TMPRSS2
Touret22b,Vero,TMPRSS2
VanBlargan22-1,Vero,TMPRSS2
