variant,rx_name,level,month,infection,num_study,num_result
B.1,CP,low,1,infected,41,115
B.1,CP,middle,1,infected,41,121
B.1,CP,high,1,infected,41,706
B.1,CP,low,>=2,infected,24,48
B.1,CP,middle,>=2,infected,24,64
B.1,CP,high,>=2,infected,24,484
B.1,mRNA-1273,low,1,naive,20,7
B.1,mRNA-1273,middle,1,naive,20,29
B.1,mRNA-1273,high,1,naive,20,598
B.1,mRNA-1273,low,>=2,naive,6,9
B.1,mRNA-1273,middle,>=2,naive,6,11
B.1,mRNA-1273,high,>=2,naive,6,178
B.1,BNT162b2,low,1,naive,38,22
B.1,BNT162b2,middle,1,naive,38,48
B.1,BNT162b2,high,1,naive,38,881
B.1,BNT162b2,low,>=2,naive,5,2
B.1,BNT162b2,middle,>=2,naive,5,3
B.1,BNT162b2,high,>=2,naive,5,132
B.1,BNT162b2,low,1,infected,5,0
B.1,BNT162b2,middle,1,infected,5,0
B.1,BNT162b2,high,1,infected,5,40
B.1,CoronaVac,low,>=2,naive,2,10
B.1,CoronaVac,middle,>=2,naive,2,72
B.1,CoronaVac,high,>=2,naive,2,37
B.1,CoronaVac,low,1,naive,2,11
B.1,CoronaVac,middle,1,naive,2,24
B.1,CoronaVac,high,1,naive,2,10
B.1,Ad26.COV2.S,low,>=2,naive,4,2
B.1,Ad26.COV2.S,middle,>=2,naive,4,11
B.1,Ad26.COV2.S,high,>=2,naive,4,32
B.1,Ad26.COV2.S,low,1,naive,5,20
B.1,Ad26.COV2.S,middle,1,naive,5,20
B.1,Ad26.COV2.S,high,1,naive,5,38
B.1,Ad26.COV2.S,low,1,infected,1,1
B.1,Ad26.COV2.S,middle,1,infected,1,1
B.1,Ad26.COV2.S,high,1,infected,1,37
B.1,ZF2001,low,1,naive,2,0
B.1,ZF2001,middle,1,naive,2,7
B.1,ZF2001,high,1,naive,2,7
B.1,BBIBP-CorV,low,1,naive,2,6
B.1,BBIBP-CorV,middle,1,naive,2,16
B.1,BBIBP-CorV,high,1,naive,2,15
B.1,Sputnik V,low,1,naive,2,30
B.1,Sputnik V,middle,1,naive,2,13
B.1,Sputnik V,high,1,naive,2,21
B.1,Sputnik V,low,>=2,naive,1,31
B.1,Sputnik V,middle,>=2,naive,1,9
B.1,Sputnik V,high,>=2,naive,1,12
B.1,MVC-COV1901,low,1,naive,1,0
B.1,MVC-COV1901,middle,1,naive,1,7
B.1,MVC-COV1901,high,1,naive,1,38
B.1,AZD1222,low,1,naive,5,10
B.1,AZD1222,middle,1,naive,5,60
B.1,AZD1222,high,1,naive,5,135
B.1,AZD1222,low,>=2,naive,1,0
B.1,AZD1222,middle,>=2,naive,1,1
B.1,AZD1222,high,>=2,naive,1,19
B.1,AZD1222,low,1,infected,2,0
B.1,AZD1222,middle,1,infected,2,0
B.1,AZD1222,high,1,infected,2,37
B.1,BBV152,low,>=2,naive,2,1
B.1,BBV152,middle,>=2,naive,2,19
B.1,BBV152,high,>=2,naive,2,50
B.1,BBV152,low,1,naive,2,3
B.1,BBV152,middle,1,naive,2,11
B.1,BBV152,high,1,naive,2,41
B.1,NVX-CoV2373,low,1,naive,2,0
B.1,NVX-CoV2373,middle,1,naive,2,0
B.1,NVX-CoV2373,high,1,naive,2,51
B.1,mRNA-1273.351,low,1,naive,1,0
B.1,mRNA-1273.351,middle,1,naive,1,0
B.1,mRNA-1273.351,high,1,naive,1,16
B.1,mRNA-1273.351,low,>=2,naive,1,0
B.1,mRNA-1273.351,middle,>=2,naive,1,0
B.1,mRNA-1273.351,high,>=2,naive,1,20
B.1,mRNA-1273.211,low,1,naive,1,0
B.1,mRNA-1273.211,middle,1,naive,1,0
B.1,mRNA-1273.211,high,1,naive,1,16
B,CP,low,1,infected,29,78
B,CP,middle,1,infected,29,54
B,CP,high,1,infected,29,726
B,CP,low,>=2,infected,14,48
B,CP,middle,>=2,infected,14,88
B,CP,high,>=2,infected,14,431
B,CoronaVac,low,>=2,naive,2,43
B,CoronaVac,middle,>=2,naive,2,93
B,CoronaVac,high,>=2,naive,2,180
B,CoronaVac,low,1,naive,3,22
B,CoronaVac,middle,1,naive,3,20
B,CoronaVac,high,1,naive,3,80
B,BNT162b2,low,>=2,naive,3,1
B,BNT162b2,middle,>=2,naive,3,1
B,BNT162b2,high,>=2,naive,3,142
B,BNT162b2,low,1,naive,22,9
B,BNT162b2,middle,1,naive,22,39
B,BNT162b2,high,1,naive,22,640
B,BNT162b2,low,1,infected,4,0
B,BNT162b2,middle,1,infected,4,0
B,BNT162b2,high,1,infected,4,69
B,AZD1222,low,1,naive,8,5
B,AZD1222,middle,1,naive,8,22
B,AZD1222,high,1,naive,8,255
B,AZD1222,low,>=2,naive,1,0
B,AZD1222,middle,>=2,naive,1,0
B,AZD1222,high,>=2,naive,1,5
B,AZD1222 + BNT162b2,low,1,naive,2,0
B,AZD1222 + BNT162b2,middle,1,naive,2,0
B,AZD1222 + BNT162b2,high,1,naive,2,65
B,Sputnik V,low,>=2,naive,1,0
B,Sputnik V,middle,>=2,naive,1,0
B,Sputnik V,high,>=2,naive,1,7
B,Sputnik V,low,1,naive,1,0
B,Sputnik V,middle,1,naive,1,1
B,Sputnik V,high,1,naive,1,0
B,ZF2001,low,1,naive,1,0
B,ZF2001,middle,1,naive,1,5
B,ZF2001,high,1,naive,1,7
B,BBIBP-CorV,low,1,naive,3,10
B,BBIBP-CorV,middle,1,naive,3,487
B,BBIBP-CorV,high,1,naive,3,10
B,MVC-COV1901,low,1,naive,1,0
B,MVC-COV1901,middle,1,naive,1,0
B,MVC-COV1901,high,1,naive,1,81
B,mRNA-1273,low,1,naive,5,27
B,mRNA-1273,middle,1,naive,5,28
B,mRNA-1273,high,1,naive,5,74
B,mRNA-1273,low,>=2,naive,1,0
B,mRNA-1273,middle,>=2,naive,1,1
B,mRNA-1273,high,>=2,naive,1,32
B,mRNA-1273,low,1,infected,1,0
B,mRNA-1273,middle,1,infected,1,0
