variant,rx_name,susc,month,infection,num_study,num_result
Alpha,CP,S,1,infected,35,833
Alpha,CP,I,1,infected,35,157
Alpha,CP,R,1,infected,35,22
Alpha,CP,S,>=2,infected,23,793
Alpha,CP,I,>=2,infected,23,116
Alpha,CP,R,>=2,infected,23,7
Alpha,mRNA-1273,S,1,naive,14,522
Alpha,mRNA-1273,I,1,naive,14,16
Alpha,mRNA-1273,R,1,naive,14,0
Alpha,mRNA-1273,S,>=2,naive,2,26
Alpha,mRNA-1273,I,>=2,naive,2,5
Alpha,mRNA-1273,R,>=2,naive,2,0
Alpha,mRNA-1273,S,1,infected,1,14
Alpha,mRNA-1273,I,1,infected,1,0
Alpha,mRNA-1273,R,1,infected,1,1
Alpha,BNT162b2,S,1,naive,39,1119
Alpha,BNT162b2,I,1,naive,39,165
Alpha,BNT162b2,R,1,naive,39,4
Alpha,BNT162b2,S,>=2,naive,4,140
Alpha,BNT162b2,I,>=2,naive,4,14
Alpha,BNT162b2,R,>=2,naive,4,0
Alpha,BNT162b2,S,1,infected,6,77
Alpha,BNT162b2,I,1,infected,6,2
Alpha,BNT162b2,R,1,infected,6,0
Alpha,CoronaVac,S,>=2,naive,2,52
Alpha,CoronaVac,I,>=2,naive,2,65
Alpha,CoronaVac,R,>=2,naive,2,2
Alpha,CoronaVac,S,1,naive,3,108
Alpha,CoronaVac,I,1,naive,3,9
Alpha,CoronaVac,R,1,naive,3,61
Alpha,Ad26.COV2.S,S,>=2,naive,4,42
Alpha,Ad26.COV2.S,I,>=2,naive,4,3
Alpha,Ad26.COV2.S,R,>=2,naive,4,0
Alpha,Ad26.COV2.S,S,1,naive,2,18
Alpha,Ad26.COV2.S,I,1,naive,2,1
Alpha,Ad26.COV2.S,R,1,naive,2,3
Alpha,AZD1222,S,1,naive,6,40
Alpha,AZD1222,I,1,naive,6,109
Alpha,AZD1222,R,1,naive,6,43
Alpha,AZD1222,S,>=2,naive,1,20
Alpha,AZD1222,I,>=2,naive,1,0
Alpha,AZD1222,R,>=2,naive,1,0
Alpha,AZD1222 + BNT162b2,S,1,naive,2,11
Alpha,AZD1222 + BNT162b2,I,1,naive,2,38
Alpha,AZD1222 + BNT162b2,R,1,naive,2,16
Alpha,Sputnik V,S,>=2,naive,2,65
Alpha,Sputnik V,I,>=2,naive,2,5
Alpha,Sputnik V,R,>=2,naive,2,0
Alpha,Sputnik V,S,1,naive,3,44
Alpha,Sputnik V,I,1,naive,3,7
Alpha,Sputnik V,R,1,naive,3,0
Alpha,MVC-COV1901,S,1,naive,1,41
Alpha,MVC-COV1901,I,1,naive,1,4
Alpha,MVC-COV1901,R,1,naive,1,0
Alpha,BBV152,S,1,naive,1,37
Alpha,BBV152,I,1,naive,1,1
Alpha,BBV152,R,1,naive,1,0
Alpha,BBV152,S,>=2,naive,1,28
Alpha,BBV152,I,>=2,naive,1,0
Alpha,BBV152,R,>=2,naive,1,0
Alpha,NVX-CoV2373,S,1,naive,1,20
Alpha,NVX-CoV2373,I,1,naive,1,7
Alpha,NVX-CoV2373,R,1,naive,1,1
Alpha,BBIBP-CorV,S,1,naive,2,492
Alpha,BBIBP-CorV,I,1,naive,2,3
Alpha,BBIBP-CorV,R,1,naive,2,0
Beta,CP,S,1,infected,39,469
Beta,CP,I,1,infected,39,587
Beta,CP,R,1,infected,39,225
Beta,CP,S,>=2,infected,19,462
Beta,CP,I,>=2,infected,19,385
Beta,CP,R,>=2,infected,19,80
Beta,BNT162b2,S,1,naive,43,307
Beta,BNT162b2,I,1,naive,43,801
Beta,BNT162b2,R,1,naive,43,318
Beta,BNT162b2,S,>=2,naive,3,18
Beta,BNT162b2,I,>=2,naive,3,38
Beta,BNT162b2,R,>=2,naive,3,23
Beta,BNT162b2,S,1,infected,9,17
Beta,BNT162b2,I,1,infected,9,94
Beta,BNT162b2,R,1,infected,9,8
Beta,mRNA-1273,S,1,naive,16,148
Beta,mRNA-1273,I,1,naive,16,363
Beta,mRNA-1273,R,1,naive,16,138
Beta,mRNA-1273,S,>=2,naive,4,17
Beta,mRNA-1273,I,>=2,naive,4,55
Beta,mRNA-1273,R,>=2,naive,4,32
Beta,mRNA-1273,S,1,infected,2,7
Beta,mRNA-1273,I,1,infected,2,24
Beta,mRNA-1273,R,1,infected,2,5
Beta,Ad26.COV2.S,S,>=2,naive,4,18
Beta,Ad26.COV2.S,I,>=2,naive,4,17
Beta,Ad26.COV2.S,R,>=2,naive,4,8
Beta,Ad26.COV2.S,S,1,naive,4,32
Beta,Ad26.COV2.S,I,1,naive,4,25
Beta,Ad26.COV2.S,R,1,naive,4,23
Beta,Ad26.COV2.S,S,1,infected,1,22
Beta,Ad26.COV2.S,I,1,infected,1,13
Beta,Ad26.COV2.S,R,1,infected,1,4
Beta,AZD1222 + BNT162b2,S,1,naive,3,37
Beta,AZD1222 + BNT162b2,I,1,naive,3,1
Beta,AZD1222 + BNT162b2,R,1,naive,3,53
Beta,AZD1222,S,1,naive,5,9
Beta,AZD1222,I,1,naive,5,44
Beta,AZD1222,R,1,naive,5,105
Beta,AZD1222,S,>=2,naive,2,1
Beta,AZD1222,I,>=2,naive,2,19
Beta,AZD1222,R,>=2,naive,2,5
Beta,Sputnik V,S,>=2,naive,2,0
Beta,Sputnik V,I,>=2,naive,2,53
Beta,Sputnik V,R,>=2,naive,2,0
Beta,Sputnik V,S,1,naive,3,12
Beta,Sputnik V,I,1,naive,3,1
Beta,Sputnik V,R,1,naive,3,19
Beta,ZF2001,S,1,naive,1,24
Beta,ZF2001,I,1,naive,1,0
Beta,ZF2001,R,1,naive,1,0
Beta,BBIBP-CorV,S,1,naive,3,33
Beta,BBIBP-CorV,I,1,naive,3,483
Beta,BBIBP-CorV,R,1,naive,3,3
Beta,MVC-COV1901,S,1,naive,1,30
Beta,MVC-COV1901,I,1,naive,1,38
Beta,MVC-COV1901,R,1,naive,1,13
Beta,NVX-CoV2373,S,1,naive,1,0
Beta,NVX-CoV2373,I,1,naive,1,8
Beta,NVX-CoV2373,R,1,naive,1,15
Beta,AZD1222 + AZD2816,S,>=2,naive,1,0
Beta,AZD1222 + AZD2816,I,>=2,naive,1,0
Beta,AZD1222 + AZD2816,R,>=2,naive,1,6
Beta,CoronaVac,S,1,naive,3,8
Beta,CoronaVac,I,1,naive,3,108
Beta,CoronaVac,R,1,naive,3,62
Beta,mRNA-1273.351,S,1,naive,1,8
Beta,mRNA-1273.351,I,1,naive,1,0
Beta,mRNA-1273.351,R,1,naive,1,0
Beta,mRNA-1273.351,S,>=2,naive,1,0
Beta,mRNA-1273.351,I,>=2,naive,1,20
Beta,mRNA-1273.351,R,>=2,naive,1,0
Beta,mRNA-1273.211,S,1,naive,1,8
Beta,mRNA-1273.211,I,1,naive,1,0
Beta,mRNA-1273.211,R,1,naive,1,0
Beta,BBV152,S,1,naive,1,9
Beta,BBV152,I,1,naive,1,7
Beta,BBV152,R,1,naive,1,1
Beta,mRNA,S,1,naive,1,0
Beta,mRNA,I,1,naive,1,30
Beta,mRNA,R,1,naive,1,0
Gamma,CP,S,1,infected,17,172
Gamma,CP,I,1,infected,17,161
Gamma,CP,R,1,infected,17,49
Gamma,CP,S,>=2,infected,11,534
Gamma,CP,I,>=2,infected,11,62
Gamma,CP,R,>=2,infected,11,52
Gamma,mRNA-1273,S,1,naive,7,213
Gamma,mRNA-1273,I,1,naive,7,69
Gamma,mRNA-1273,R,1,naive,7,3
Gamma,mRNA-1273,S,>=2,naive,2,4
Gamma,mRNA-1273,I,>=2,naive,2,29
Gamma,mRNA-1273,R,>=2,naive,2,11
Gamma,mRNA-1273,S,1,infected,1,5
Gamma,mRNA-1273,I,1,infected,1,9
Gamma,mRNA-1273,R,1,infected,1,1
Gamma,BNT162b2,S,1,naive,17,406
Gamma,BNT162b2,I,1,naive,17,97
Gamma,BNT162b2,R,1,naive,17,2
Gamma,BNT162b2,S,>=2,naive,1,75
Gamma,BNT162b2,I,>=2,naive,1,0
Gamma,BNT162b2,R,>=2,naive,1,0
Gamma,BNT162b2,S,1,infected,2,14
Gamma,BNT162b2,I,1,infected,2,1
Gamma,BNT162b2,R,1,infected,2,0
Gamma,CoronaVac,S,>=2,naive,3,75
Gamma,CoronaVac,I,>=2,naive,3,72
Gamma,CoronaVac,R,>=2,naive,3,4
Gamma,CoronaVac,S,1,naive,2,39
Gamma,CoronaVac,I,1,naive,2,108
Gamma,CoronaVac,R,1,naive,2,20
Gamma,Ad26.COV2.S,S,>=2,naive,3,22
Gamma,Ad26.COV2.S,I,>=2,naive,3,11
Gamma,Ad26.COV2.S,R,>=2,naive,3,2
Gamma,Ad26.COV2.S,S,1,naive,1,4
Gamma,Ad26.COV2.S,I,1,naive,1,2
Gamma,Ad26.COV2.S,R,1,naive,1,4
Gamma,AZD1222,S,1,naive,3,18
Gamma,AZD1222,I,1,naive,3,20
Gamma,AZD1222,R,1,naive,3,32
Gamma,AZD1222 + BNT162b2,S,1,naive,2,11
Gamma,AZD1222 + BNT162b2,I,1,naive,2,2
Gamma,AZD1222 + BNT162b2,R,1,naive,2,52
Gamma,Sputnik V,S,>=2,naive,2,8
Gamma,Sputnik V,I,>=2,naive,2,42
Gamma,Sputnik V,R,>=2,naive,2,2
Gamma,Sputnik V,S,1,naive,1,1
Gamma,Sputnik V,I,1,naive,1,10
Gamma,Sputnik V,R,1,naive,1,24
Gamma,mRNA-1273.211,S,1,naive,1,8
Gamma,mRNA-1273.211,I,1,naive,1,0
Gamma,mRNA-1273.211,R,1,naive,1,0
Gamma,mRNA-1273.351,S,1,naive,1,8
Gamma,mRNA-1273.351,I,1,naive,1,0
Gamma,mRNA-1273.351,R,1,naive,1,0
