variant,cp_studies,cp_num_fold,cp_s_fold,cp_i_fold,cp_r_fold,cp_num_s_fold,cp_num_i_fold,cp_num_r_fold
Alpha,53,1750,81%,14%,5%,1411,239,100
Beta,57,1908,33%,40%,27%,628,767,513
Gamma,25,717,57%,27%,16%,407,197,113
Delta,12,356,42%,37%,21%,149,132,75
Iota,5,81,49%,46%,5%,40,37,4
Epsilon,7,106,68%,19%,13%,72,20,14
Kappa,6,127,46%,41%,13%,58,52,17
N501Y,11,219,92%,6%,2%,201,13,5
E484K,15,210,56%,25%,19%,117,53,40
K417N,9,144,98%,2%,0,141,3,0
L452R,8,65,60%,28%,12%,39,18,8
N439K,3,37,78%,14%,8%,29,5,3
Y453F,2,19,68%,26%,6%,13,5,1
∆69/70,6,89,99%,1%,0,88,1,0
∆144,3,23,87%,13%,0,20,3,0
