ref_name,rx_name,control_variant,variant,sample
Imai21,11182,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,11182,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,11462,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,11462,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,11471,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,11471,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,1497,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,1497,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Supasa21,150,B.1.1.7 full genome,VIC,1
Supasa21,150H+222L,B.1.1.7 full genome,VIC,1
Supasa21,158,B.1.1.7 full genome,VIC,1
Supasa21,158H+222L,B.1.1.7 full genome,VIC,1
Imai21,1610,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,1610,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Supasa21,175,B.1.1.7 full genome,VIC,1
Supasa21,175H+222L,B.1.1.7 full genome,VIC,1
Imai21,1785,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,1785,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Supasa21,222,B.1.1.7 full genome,VIC,1
Supasa21,222H+222L,B.1.1.7 full genome,VIC,1
Supasa21,269H+222L,B.1.1.7 full genome,VIC,1
Imai21,2946,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,2946,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,2955,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,2955,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,4500,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,4500,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,4605,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,4605,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,4608,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,4608,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,4704,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,4704,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,4719,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,4719,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7455,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7455,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7482,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7482,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7533,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7533,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7602,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
