Vaccine,Variant,Efficacy
AZD1222,Alpha,70% (Trial)
AZD1222,Alpha,66% (TNCC)
AZD1222,Alpha,81% (TNCC)
AZD1222,B.1,70% (Trial)
AZD1222,B.1,70% (Trial)
AZD1222,Beta,10% (Trial)
AZD1222,Delta,60% (TNCC)
AZD1222,Delta,61% (TNCC)
Ad26.COV2.S,B.1,72% (Trial)
Ad26.COV2.S,B.1,72% (Trial)
Ad26.COV2.S,Beta,64% (Trial)
BNT162b2,Alpha,90% (TNCC)
BNT162b2,Alpha,92% (TNCC)
BNT162b2,Alpha,93% (TNCC)
BNT162b2,Alpha,97% (Cohort)
BNT162b2,B.1,95% (Trial)
BNT162b2,B.1,95% (TNCC)
BNT162b2,Beta,75% (TNCC)
BNT162b2,Delta,83% (TNCC)
BNT162b2,Delta,88% (TNCC)
CoronaVac,B.1,51% (Trial)
CoronaVac,Gamma,42% (TNCC)
NVX-CoV2373,Alpha,86% (Trial)
NVX-CoV2373,B.1,96% (Trial)
NVX-CoV2373,B.1,96% (Trial)
NVX-CoV2373,Beta,51% (Trial)
