pattern,var_name,num_ref_name,CP,VP,mAbs phase3,mAbs structure,other mAbs,all mAbs,num_exp
,A.23.1,3,10,16,1,0,0,1,27
,A.27,1,0,6,0,0,0,0,6
,A.VOI.V2,1,0,8,0,0,0,0,8
,Alpha,99,2186,4550,114,54,168,336,7072
,B.1,1,0,32,0,0,0,0,32
,B.1.1.141,1,0,27,0,0,0,0,27
,B.1.1.241,1,34,0,0,0,0,0,34
,B.1.1.298,5,91,77,4,0,12,16,184
,B.1.1.317,1,0,27,0,0,0,0,27
,B.1.1.318,1,12,0,1,0,12,13,25
,B.1.1.50,1,0,18,0,0,0,0,18
,B.1.1.519,2,0,0,10,0,2,12,12
,B.1.463,1,50,170,0,0,0,0,220
,B.1.517,1,0,32,0,0,0,0,32
,B.1.617.3,3,0,102,1,0,0,1,103
,B.1.618,1,0,20,0,0,0,0,20
,B.1.619,1,0,0,1,0,0,1,1
,Beta,106,2397,4833,124,47,129,300,7530
,Delta,35,416,1998,34,0,15,49,2463
,Epsilon,21,129,675,35,9,57,101,905
,Eta,9,28,174,2,0,12,14,216
,Gamma,54,1049,1792,76,25,57,158,2999
,Iota,14,126,345,39,8,34,81,552
,Kappa,22,178,622,27,0,26,53,853
,Lambda,6,16,300,6,0,0,6,322
,Mu,1,0,37,0,0,0,0,37
,R.1,1,0,32,0,0,0,0,32
,R.2,1,0,0,1,0,0,1,1
,Zeta,7,101,143,9,0,20,29,273
