pattern,Plasma,S,I,R,Reference,Aggregate,Median,num_fold
Alpha,BNT_infected,24,24,24,Reynolds21,False,14,72
Alpha,BNT_infected,0,24,0,Reynolds21,True,8.5,24
Alpha,CP,60,60,60,Andreano21,False,2.7,180
Alpha,CP,0,20,0,Annavajhala21b,True,4.1,20
Alpha,CP,20,0,0,Annavajhala21b,True,2.6,20
Alpha,CP,16,16,16,Arora21,False,2.4,48
Alpha,CP,86,86,86,Bates21,False,1,258
Alpha,CP,6,6,6,Becker21,False,5.5,18
Alpha,CP,214,107,0,Betton21,True,1.0,321
Alpha,CP,13,13,13,Brown21,False,0.8,39
Alpha,CP,244,244,244,Cantoni21,False,2.7,732
Alpha,CP,13,13,13,Cele21,False,8.5,39
Alpha,CP,105,105,105,Chen21,False,2.4,315
Alpha,CP,37,37,37,Collier21,False,1.7,111
Alpha,CP,34,34,34,Dejnirattisai21,False,3,102
Alpha,CP,36,36,36,Deng21,False,2,108
Alpha,CP,6,6,0,Diez21,True,3.15,12
Alpha,CP,315,315,315,Dupont21,False,2.1,945
Alpha,CP,60,60,60,Edara21,False,0.6,180
Alpha,CP,30,30,30,Edara21b,False,5.1,90
Alpha,CP,48,48,48,Edara21c,False,4.1,144
Alpha,CP,11,11,11,Graham21,False,2,33
Alpha,CP,50,50,50,Greaney21,False,1.7,150
Alpha,CP,48,48,48,Greaney21c,False,2,144
Alpha,CP,27,27,27,Hoffmann21,False,3,81
Alpha,CP,14,14,14,Hoffmann21b,False,2.1,42
Alpha,CP,30,30,30,Hoffmann21c,False,2.5,90
Alpha,CP,40,40,40,Hu21c,False,1.7,120
Alpha,CP,68,68,68,Imai21,False,1,204
Alpha,CP,150,150,150,Jalkanen21,False,1,450
Alpha,CP,30,30,30,Jangra21,False,2.5,90
Alpha,CP,9,9,9,Kemp21,False,1.3,27
Alpha,CP,20,20,20,Kuzmina21,False,2.9,60
Alpha,CP,20,10,0,Leier21,True,1.5,30
Alpha,CP,820,820,820,Li20h,False,1.1,2460
Alpha,CP,270,36,0,Li21c,True,0.9,306
Alpha,CP,240,240,240,Li21d,False,3.1,720
Alpha,CP,186,186,186,Liu21,False,1.6,558
Alpha,CP,64,64,64,Liu21f,False,3.0,192
Alpha,CP,64,64,64,Liu21h,False,1.5,192
Alpha,CP,30,30,30,Marot21,False,4,90
Alpha,CP,30,15,15,Marot21,True,4.3,60
Alpha,CP,36,36,36,McCallum21b,False,7,108
Alpha,CP,12,24,0,Mlcochova21,True,6.2,36
Alpha,CP,44,44,44,Moyo-Gwete21,False,15,132
Alpha,CP,580,580,580,Muecksch21b,False,2.4,1740
Alpha,CP,18,18,18,Riou21,False,13,54
Alpha,CP,12,12,12,Rondinone21,False,1,36
Alpha,CP,34,0,0,Saade21,True,0.7,34
Alpha,CP,19,19,19,Sapkal21,False,1,57
Alpha,CP,180,180,180,Shen21,False,1.3,540
Alpha,CP,56,56,56,Shen21b,False,3.7,168
Alpha,CP,30,30,30,Stamatatos21,False,4.1,90
Alpha,CP,9,9,9,Stankov21,False,1,27
Alpha,CP,34,34,34,Supasa21,False,2.5,102
Alpha,CP,155,155,155,Tada21,False,0.9,465
Alpha,CP,10,0,0,Tada21,True,1.8,10
Alpha,CP,80,80,80,Tada21c,False,2.0,240
Alpha,CP,56,56,56,Tada21d,False,1.6,168
Alpha,CP,112,112,112,Tada21e,False,2.2,336
Alpha,CP,72,72,72,Tang21,False,2.8,216
Alpha,CP,192,192,192,Trinite21,False,1.1,576
Alpha,CP,42,84,0,Trombetta21,True,3.5,126
Alpha,CP,56,56,56,Uriu21,False,4.0,168
Alpha,CP,60,90,30,Vacharathit21,True,8.0,180
Alpha,CP,20,0,0,Vicenti21,True,0.6,20
Alpha,CP,42,21,0,Vidal21,True,1.3,63
Alpha,CP,125,125,125,Virtanen21,False,1,375
Alpha,CP,400,400,400,Wang21b,False,1.4,1200
Alpha,CP,40,40,40,Wang21d,False,2.1,120
Alpha,CP,240,240,240,Wang21f,False,1,720
Alpha,CP,102,102,102,Wang21g,False,1.0,306
Alpha,CP,9,9,9,Weigang21,False,2.4,27
Alpha,CP,52,52,52,Weisblum20,False,2.3,156
Alpha,CP,80,80,80,Widera21,False,2,240
Alpha,CP,20,20,0,Wilhelm21,True,2.85,40
Alpha,CP,20,20,0,Wilhelm21,True,3.0,40
Alpha,CP,90,20,0,Wilson21,True,1.4,110
Alpha,CP,40,40,40,Yadav21b,False,2.4,120
Alpha,CP,90,90,90,Yi21,False,1.8,270
Alpha,CP,80,5,0,Zhang21c,True,1.3,85
Alpha,CP,34,34,34,Zhou21b,False,11,102
Alpha,CP,18,18,18,Zhou21c,False,3.2,54
Alpha,CP,42,42,42,deSouza21,False,11,126
Alpha,CP_1.3M,20,20,20,West21,False,3,60
Alpha,CP_1M,40,40,40,Hu21,False,3.8,120
Alpha,CP_2M,100,100,100,Li21c,False,1,300
Alpha,CP_5M,100,100,100,Li21c,False,1,300
Alpha,CP_6M,30,30,30,Edara21b,False,2,90
Alpha,CP_6M,65,65,65,Virtanen21,False,1,195
Alpha,CP_6M,20,20,20,West21,False,3.2,60
Alpha,CP_8M,40,40,40,Hu21,False,4.2,120
Alpha,CP_8M,100,100,100,Li21c,False,1,300
Alpha,CP_Asymptomatic,24,24,24,Skelly21,False,10,72
Alpha,CP_B.1.1.117+S:484K,1,1,1,Cele21,False,0.6,3
Alpha,CP_BNT_infected,16,16,16,Turner21,False,1.5,48
Alpha,CP_BNT_uninfected,36,36,36,Turner21,False,1,108
Alpha,CP_M3,56,56,56,Planas21,False,1.5,168
Alpha,CP_M6,50,50,50,Planas21,False,1.5,150
Alpha,CP_M9,60,60,60,Planas21,False,1.2,180
Alpha,CP_Mild,40,40,40,Faulkner21,False,4.1,120
Alpha,CP_Mild,180,180,180,Rees-Spear21,False,1.2,540
Alpha,CP_Mild,58,0,0,Saade21,True,2.0,58
Alpha,CP_Mild,24,24,24,Skelly21,False,8.1,72
Alpha,CP_Orleans,42,42,42,Planas21b,False,1.3,126
Alpha,CP_Patient,34,34,34,Faulkner21,False,2.5,102
Alpha,CP_Patient_M3,34,34,34,Faulkner21,False,1.7,102
Alpha,CP_Severe,180,180,180,Rees-Spear21,False,1,540
Alpha,CP_Severe,50,0,0,Saade21,True,1.75,50
Alpha,CP_Strasbourg,78,78,78,Planas21b,False,1.4,234
Alpha,CP_VAC_recovered,22,22,22,Jalkanen21,False,1,66
Alpha,CP_WT_mice,7,7,7,Weigang21,False,2.3,21
Alpha,CP_Wildtype,40,40,40,Collier21,False,3.3,120
Alpha,CP_acute,60,60,60,Edara21,False,0.8,180
Alpha,CP_acute,19,19,19,Edara21b,False,4.7,57
Alpha,CP_first_wave,31,62,31,Tea21,True,4.0,124
Alpha,CP_high_titer,131,131,131,Alenquer21,False,2.4,393
Alpha,CP_high_titer,44,44,44,Wibmer21,False,14,132
Alpha,CP_hosp,56,28,0,Caniels21,True,2.4,84
Alpha,CP_infected,10,10,10,Goel21,False,2.9,30
Alpha,CP_low_titer,123,123,123,Alenquer21,False,1.9,369
Alpha,CP_low_titer,44,44,44,Wibmer21,False,8.5,132
Alpha,CP_medium_titer,78,78,78,Alenquer21,False,1.8,234
Alpha,CP_non-hosp,41,82,0,Caniels21,True,3.0,123
Alpha,CP_recovered,26,26,26,Geers21,False,0.6,78
Alpha,IVIG,24,24,24,Tang21,False,3.6,72
Beta,BNT_infected,24,24,24,Reynolds21,False,14,72
Beta,BNT_infected,0,24,0,Reynolds21,True,8.5,24
Beta,CP,60,60,60,Andreano21,False,2.7,180
Beta,CP,0,20,0,Annavajhala21b,True,4.1,20
Beta,CP,20,0,0,Annavajhala21b,True,2.6,20
Beta,CP,16,16,16,Arora21,False,2.4,48
Beta,CP,86,86,86,Bates21,False,1,258
Beta,CP,6,6,6,Becker21,False,5.5,18
Beta,CP,214,107,0,Betton21,True,1.0,321
Beta,CP,13,13,13,Brown21,False,0.8,39
Beta,CP,244,244,244,Cantoni21,False,2.7,732
Beta,CP,13,13,13,Cele21,False,8.5,39
Beta,CP,105,105,105,Chen21,False,2.4,315
Beta,CP,37,37,37,Collier21,False,1.7,111
Beta,CP,34,34,34,Dejnirattisai21,False,3,102
Beta,CP,36,36,36,Deng21,False,2,108
Beta,CP,6,6,0,Diez21,True,3.15,12
Beta,CP,315,315,315,Dupont21,False,2.1,945
Beta,CP,60,60,60,Edara21,False,0.6,180
Beta,CP,30,30,30,Edara21b,False,5.1,90
Beta,CP,48,48,48,Edara21c,False,4.1,144
Beta,CP,11,11,11,Graham21,False,2,33
Beta,CP,50,50,50,Greaney21,False,1.7,150
Beta,CP,48,48,48,Greaney21c,False,2,144
Beta,CP,27,27,27,Hoffmann21,False,3,81
Beta,CP,14,14,14,Hoffmann21b,False,2.1,42
Beta,CP,30,30,30,Hoffmann21c,False,2.5,90
Beta,CP,40,40,40,Hu21c,False,1.7,120
Beta,CP,68,68,68,Imai21,False,1,204
Beta,CP,150,150,150,Jalkanen21,False,1,450
Beta,CP,30,30,30,Jangra21,False,2.5,90
Beta,CP,9,9,9,Kemp21,False,1.3,27
Beta,CP,20,20,20,Kuzmina21,False,2.9,60
Beta,CP,20,10,0,Leier21,True,1.5,30
Beta,CP,820,820,820,Li20h,False,1.1,2460
Beta,CP,270,36,0,Li21c,True,0.9,306
Beta,CP,240,240,240,Li21d,False,3.1,720
Beta,CP,186,186,186,Liu21,False,1.6,558
Beta,CP,64,64,64,Liu21f,False,3.0,192
Beta,CP,64,64,64,Liu21h,False,1.5,192
Beta,CP,30,30,30,Marot21,False,4,90
Beta,CP,30,15,15,Marot21,True,4.3,60
Beta,CP,36,36,36,McCallum21b,False,7,108
Beta,CP,12,24,0,Mlcochova21,True,6.2,36
Beta,CP,44,44,44,Moyo-Gwete21,False,15,132
Beta,CP,580,580,580,Muecksch21b,False,2.4,1740
Beta,CP,18,18,18,Riou21,False,13,54
Beta,CP,12,12,12,Rondinone21,False,1,36
Beta,CP,34,0,0,Saade21,True,0.7,34
Beta,CP,19,19,19,Sapkal21,False,1,57
Beta,CP,180,180,180,Shen21,False,1.3,540
Beta,CP,56,56,56,Shen21b,False,3.7,168
Beta,CP,30,30,30,Stamatatos21,False,4.1,90
Beta,CP,9,9,9,Stankov21,False,1,27
Beta,CP,34,34,34,Supasa21,False,2.5,102
Beta,CP,155,155,155,Tada21,False,0.9,465
Beta,CP,10,0,0,Tada21,True,1.8,10
Beta,CP,80,80,80,Tada21c,False,2.0,240
Beta,CP,56,56,56,Tada21d,False,1.6,168
Beta,CP,112,112,112,Tada21e,False,2.2,336
Beta,CP,72,72,72,Tang21,False,2.8,216
Beta,CP,192,192,192,Trinite21,False,1.1,576
Beta,CP,42,84,0,Trombetta21,True,3.5,126
Beta,CP,56,56,56,Uriu21,False,4.0,168
Beta,CP,60,90,30,Vacharathit21,True,8.0,180
Beta,CP,20,0,0,Vicenti21,True,0.6,20
Beta,CP,42,21,0,Vidal21,True,1.3,63
Beta,CP,125,125,125,Virtanen21,False,1,375
Beta,CP,400,400,400,Wang21b,False,1.4,1200
Beta,CP,40,40,40,Wang21d,False,2.1,120
Beta,CP,240,240,240,Wang21f,False,1,720
Beta,CP,102,102,102,Wang21g,False,1.0,306
Beta,CP,9,9,9,Weigang21,False,2.4,27
Beta,CP,52,52,52,Weisblum20,False,2.3,156
Beta,CP,80,80,80,Widera21,False,2,240
Beta,CP,20,20,0,Wilhelm21,True,2.85,40
Beta,CP,20,20,0,Wilhelm21,True,3.0,40
Beta,CP,90,20,0,Wilson21,True,1.4,110
Beta,CP,40,40,40,Yadav21b,False,2.4,120
Beta,CP,90,90,90,Yi21,False,1.8,270
Beta,CP,80,5,0,Zhang21c,True,1.3,85
Beta,CP,34,34,34,Zhou21b,False,11,102
Beta,CP,18,18,18,Zhou21c,False,3.2,54
Beta,CP,42,42,42,deSouza21,False,11,126
Beta,CP_1.3M,20,20,20,West21,False,3,60
Beta,CP_1M,40,40,40,Hu21,False,3.8,120
Beta,CP_2M,100,100,100,Li21c,False,1,300
Beta,CP_5M,100,100,100,Li21c,False,1,300
Beta,CP_6M,30,30,30,Edara21b,False,2,90
Beta,CP_6M,65,65,65,Virtanen21,False,1,195
Beta,CP_6M,20,20,20,West21,False,3.2,60
Beta,CP_8M,40,40,40,Hu21,False,4.2,120
Beta,CP_8M,100,100,100,Li21c,False,1,300
Beta,CP_Asymptomatic,24,24,24,Skelly21,False,10,72
Beta,CP_B.1.1.117+S:484K,1,1,1,Cele21,False,0.6,3
