pattern,ab_name,class,fold,ref_name
Alpha,ADG20,,1.5,Supasa21
Alpha,BRII-196/BRII-198,,0.5,Wang21b
Alpha,BRII-196/BRII-198,,0.2,Wang21b
Alpha,Bamlanivimab/Etesevimab,,1,FDA21
Alpha,Bamlanivimab/Etesevimab,,1,FDA21
Alpha,Bamlanivimab/Etesevimab,,1.7,Wang21b
Alpha,Bamlanivimab/Etesevimab,,1.3,Wang21b
Alpha,Casirivimab/Imdevimab,,0.8,Copin21
Alpha,Casirivimab/Imdevimab,,1,Hoffmann21
Alpha,Casirivimab/Imdevimab,,1,Tada21
Alpha,Casirivimab/Imdevimab,,1,Tada21c
Alpha,Casirivimab/Imdevimab,,1,FDA21
Alpha,Casirivimab/Imdevimab,,1,FDA21
Alpha,Casirivimab/Imdevimab,,0.6,Wang21b
Alpha,Casirivimab/Imdevimab,,1,Wang21b
Alpha,Cilgavimab/Tixagevimab,,0.8,Supasa21
Alpha,Cilgavimab/Tixagevimab,,0.5,Chen21
Alpha,Cilgavimab/Tixagevimab,,0.8,Wang21b
Alpha,Cilgavimab/Tixagevimab,,1,Wang21b
Alpha,S2E12/Sotrovimab,,0.7,Chen21
Alpha,Vir-7832,,2.5,Cathcart21
Alpha,Vir-7832,,3.1,Cathcart21
Alpha,2-17,NTD,>100,Wang21b
Alpha,2-17,NTD,43,Wang21b
Alpha,4-8,NTD,>100,Wang21b
Alpha,4-8,NTD,>100,Wang21b
Alpha,4A8,NTD,>100,Collier21
Alpha,4A8,NTD,>100,Wang21b
Alpha,4A8,NTD,>100,Wang21b
Alpha,5-24,NTD,>100,Wang21b
Alpha,5-24,NTD,>100,Wang21b
Alpha,5-7,NTD,7.5,Wang21b
Alpha,5-7,NTD,12,Wang21b
Alpha,S2M28,NTD,41,Collier21
Alpha,S2X333,NTD,>100,Collier21
Alpha,2-43,RBD Core Cluster I,2.3,Wang21b
Alpha,2-43,RBD Core Cluster I,4.1,Wang21b
Alpha,C135,RBD Core Cluster I,1.4,Wang21b
Alpha,C135,RBD Core Cluster I,0.3,Wang21b
Alpha,Imdevimab,RBD Core Cluster I,0.4,Copin21
Alpha,Imdevimab,RBD Core Cluster I,0.1,Fenwick21
Alpha,Imdevimab,RBD Core Cluster I,1,Hoffmann21
Alpha,Imdevimab,RBD Core Cluster I,1,Planas21b
Alpha,Imdevimab,RBD Core Cluster I,0.6,Rothenberger21
Alpha,Imdevimab,RBD Core Cluster I,0.9,Supasa21
Alpha,Imdevimab,RBD Core Cluster I,1,Tada21
Alpha,Imdevimab,RBD Core Cluster I,0.7,Tada21c
Alpha,Imdevimab,RBD Core Cluster I,0.2,Wang21e
Alpha,Imdevimab,RBD Core Cluster I,0.4,Wang21f
Alpha,Imdevimab,RBD Core Cluster I,0.7,Yao21
Alpha,Imdevimab,RBD Core Cluster I,1,FDA21
Alpha,Imdevimab,RBD Core Cluster I,0.5,Wang21b
