ref_name,rx_name,resistance,sample
Liu21,1B07,partial-resistance,6
Liu21,1B07,resistant,7
Liu21,1B07,susceptible,16
Liu21,2B04,partial-resistance,11
Liu21,2B04,resistant,4
Liu21,2B04,susceptible,14
Liu21,2H04,partial-resistance,9
Liu21,2H04,resistant,9
Liu21,2H04,susceptible,11
Liu21,SARS2-01,partial-resistance,8
Liu21,SARS2-01,resistant,16
Liu21,SARS2-01,susceptible,5
Liu21,SARS2-02,partial-resistance,12
Liu21,SARS2-02,resistant,9
Liu21,SARS2-02,susceptible,8
Liu21,SARS2-07,partial-resistance,10
Liu21,SARS2-07,resistant,11
Liu21,SARS2-07,susceptible,8
Liu21,SARS2-16,partial-resistance,15
Liu21,SARS2-16,resistant,11
Liu21,SARS2-16,susceptible,3
Liu21,SARS2-19,partial-resistance,14
Liu21,SARS2-19,resistant,9
Liu21,SARS2-19,susceptible,6
Liu21,SARS2-32,partial-resistance,9
Liu21,SARS2-32,resistant,12
Liu21,SARS2-32,susceptible,8
Liu21,SARS2-38,partial-resistance,4
Liu21,SARS2-38,resistant,10
Liu21,SARS2-38,susceptible,15
