Variant name,Plasma,S,I,R,Reference,Median,Samples
B.1.1.7,AZD1222,3,23,23,Emary21*,8.7,49
B.1.1.7,AZD1222,10,0,0,Supasa21*,2.1,10
B.1.1.7,BBIBP-CorV,16,0,3,Wang21g,0.9,19
B.1.1.7,BNT162b2,8,0,0,Brown21,1,8
B.1.1.7,BNT162b2,8,1,0,Brown21*,0.8,9
B.1.1.7,BNT162b2,20,4,0,Chen21*,1.9,24
B.1.1.7,BNT162b2,22,0,0,Garcia-Beltran21,2.3,22
B.1.1.7,BNT162b2,15,0,0,Hoffmann21,1.4,15
B.1.1.7,BNT162b2,10,0,0,Kuzmina21,1.0,10
B.1.1.7,BNT162b2,16,10,0,Marot21*,2,26
B.1.1.7,BNT162b2,12,1,0,McCallum21b,1.1,13
B.1.1.7,BNT162b2,40,0,0,Muik21,1.3,40
B.1.1.7,BNT162b2,25,0,0,Skelly21,2.0,25
B.1.1.7,BNT162b2,0,25,0,Supasa21*,3.3,25
B.1.1.7,BNT162b2,9,1,0,Wang21b,1.9,10
B.1.1.7,BNT162b2,10,0,0,Wang21b*,0.9,10
B.1.1.7,BNT162b2,0,2,1,Widera21*,8,3
B.1.1.7,BNT162b2,18,0,0,Zuckerman21*,2.0,18
B.1.1.7,BNT162b2_1ds,28,7,2,Collier21,1.6,37
B.1.1.7,BNT162b2_2ds,18,3,0,Collier21,2,21
B.1.1.7,BNT162b2_W2,8,7,0,Planas21,2.2,15
B.1.1.7,BNT162b2_W3,11,4,1,Planas21,2.5,16
B.1.1.7,BNT162b2_W4,8,2,0,Planas21,0.9,10
B.1.1.7,BNT162b2_W5,13,0,0,Planas21,0.9,13
B.1.1.7,BNT162b2_W6,13,0,0,Planas21,0.3,13
B.1.1.7,BNT162b2_infected,4,1,0,McCallum21b,1.6,5
B.1.1.7,BNT162b2_one_dose,0,0,5,Skelly21*,67,5
B.1.1.7,CP,5,0,0,Brown21,0.8,5
B.1.1.7,CP,8,0,0,Brown21*,0.7,8
B.1.1.7,CP,18,1,0,Chen21*,1.4,19
B.1.1.7,CP,11,8,1,Collier21,2.7,20
B.1.1.7,CP,19,0,0,Edara21*,0.6,19
B.1.1.7,CP,27,3,0,Faulkner21*,1.6,30
B.1.1.7,CP,8,1,0,Hoffmann21,1.2,9
B.1.1.7,CP,13,5,1,Hu21,2.2,19
B.1.1.7,CP,10,0,0,Kuzmina21,1.5,10
B.1.1.7,CP,5,2,0,Marot21*,1,7
B.1.1.7,CP,13,2,0,Shen21,1.5,15
B.1.1.7,CP,3,3,3,Skelly21,3.4,9
B.1.1.7,CP,34,0,0,Supasa21*,2.9,34
B.1.1.7,CP,3,5,0,Tang21,3.3,8
B.1.1.7,CP,14,5,1,Wang21b,2.3,20
B.1.1.7,CP,20,0,0,Wang21b*,0.9,20
B.1.1.7,CP,23,0,0,Wang21f,1.2,23
B.1.1.7,CP,23,1,6,Wang21g,1,30
B.1.1.7,CP,1,2,1,Widera21*,8,4
B.1.1.7,CP(8M),11,8,0,Hu21,2.2,19
B.1.1.7,CP_M3,27,1,0,Planas21,0.9,28
B.1.1.7,CP_M6,21,4,0,Planas21,0.9,25
B.1.1.7,CP_M9,30,0,0,Planas21,0.9,30
B.1.1.7,CP_acute,15,1,0,Edara21*,0.9,16
B.1.1.7,CoronaVac,12,1,9,Wang21g,1.6,22
B.1.1.7,IVIG,6,0,0,Tang21,1.7,6
B.1.1.7,IVIG,6,0,0,Tang21*,2.4,6
B.1.1.7,Mild,14,3,1,Rees-Spear21,3.0,18
B.1.1.7,NVX-CoV,20,7,1,Shen21,2.2,28
B.1.1.7,Severe,15,2,1,Rees-Spear21,3.0,18
B.1.1.7,mRNA-1273,14,0,0,Edara21*,0.9,14
B.1.1.7,mRNA-1273,4,0,0,Garcia-Beltran21,2,4
B.1.1.7,mRNA-1273,30,10,0,Shen21,2.1,40
B.1.1.7,mRNA-1273,12,0,0,Wang21b,1.8,12
B.1.1.7,mRNA-1273,12,0,0,Wang21b*,0.7,12
B.1.1.7,mRNA-1273,8,0,0,Wu21,1.2,8
B.1.351,AZD1222,0,3,6,Madhi21,23,9
B.1.351,AZD1222,2,11,5,Zhou21b*,7.8,18
B.1.351,BBIBP-CorV,5,1,13,Wang21g,4.2,19
B.1.351,BNT162b2,1,3,2,Becker21*,5.6,6
B.1.351,BNT162b2,0,12,12,Chen21*,10,24
B.1.351,BNT162b2,4,9,2,Hoffmann21,5,15
B.1.351,BNT162b2,0,10,0,Kuzmina21,6.8,10
B.1.351,BNT162b2,15,5,0,Liu21b,2,20
B.1.351,BNT162b2,3,19,2,Marot21*,4,24
B.1.351,BNT162b2,3,9,1,McCallum21b,4,13
B.1.351,BNT162b2,0,25,0,Skelly21,5.0,25
B.1.351,BNT162b2,2,3,0,Tada21,3.8,5
B.1.351,BNT162b2,4,5,1,Wang21b,4,10
B.1.351,BNT162b2,0,6,4,Wang21b*,9.2,10
B.1.351,BNT162b2,0,3,0,Widera21*,8,3
B.1.351,BNT162b2,1,14,8,Zhou21b*,7.5,23
B.1.351,BNT162b2_W2,6,7,2,Planas21,3.6,15
B.1.351,BNT162b2_W3,4,6,6,Planas21,6.2,16
B.1.351,BNT162b2_W4,3,6,1,Planas21,3.8,10
B.1.351,BNT162b2_W5,3,3,7,Planas21,11,13
B.1.351,BNT162b2_W6,2,6,5,Planas21,7.2,13
B.1.351,BNT162b2_infected,3,2,0,McCallum21b,2.1,5
B.1.351,BNT162b2_one_dose,0,0,10,Skelly21*,60,10
B.1.351,CP,3,1,3,Becker21*,10,7
B.1.351,CP,9,7,3,Chen21*,3.3,19
B.1.351,CP,1,11,9,Faulkner21*,9.3,21
B.1.351,CP,4,4,1,Hoffmann21,3.6,9
B.1.351,CP,4,9,6,Hu21,4.8,19
B.1.351,CP,0,10,0,Kuzmina21,6.9,10
B.1.351,CP,0,2,0,Marot21*,6,2
B.1.351,CP,5,10,21,Moyo-Gwete21,10,36
B.1.351,CP,0,4,7,Shen21b,19,11
B.1.351,CP,1,1,7,Skelly21,57,9
B.1.351,CP,9,1,0,Tada21,1.5,10
B.1.351,CP,1,1,4,Tang21,12,6
B.1.351,CP,4,9,7,Wang21b,6.5,20
B.1.351,CP,6,9,5,Wang21b*,5.1,20
B.1.351,CP,3,7,2,Wang21f,5.6,12
B.1.351,CP,20,1,9,Wang21g,2.0,30
B.1.351,CP,0,2,2,Widera21*,12,4
B.1.351,CP,2,11,16,Zhou21b*,14,29
B.1.351,CP(8M),5,9,5,Hu21,6,19
B.1.351,CP(High Titer),1,7,14,Wibmer21,14,22
B.1.351,CP(Low Titer),4,2,7,Wibmer21,11,13
B.1.351,CP_M3,12,11,5,Planas21,4.2,28
B.1.351,CP_M6,12,6,7,Planas21,3.8,25
B.1.351,CP_M9,18,12,0,Planas21,2.6,30
B.1.351,CoronaVac,5,1,16,Wang21g,4.9,22
B.1.351,IVIG,0,3,3,Tang21,9.8,6
B.1.351,IVIG,1,4,1,Tang21*,6.5,6
B.1.351,NVV,0,7,15,Shen21b,13,22
B.1.351,mRNA-1273,1,13,12,Shen21b,9.1,26
B.1.351,mRNA-1273,1,8,3,Wang21b,7.3,12
B.1.351,mRNA-1273,0,5,7,Wang21b*,11,12
B.1.351,mRNA-1273,0,8,0,Wu21,6.9,8
B.1.427/9,BNT162b2,3,0,0,Deng21,2,3
B.1.427/9,BNT162b2,22,0,0,Garcia-Beltran21,2.9,22
B.1.427/9,BNT162b2,8,5,0,McCallum21b,2.8,13
B.1.427/9,BNT162b2_infected,3,2,0,McCallum21b,2.9,5
B.1.427/9,CP,7,10,1,Deng21,4,18
B.1.427/9,CP,7,7,0,Shen21b,3.1,14
B.1.427/9,CP,6,2,0,Tang21,2.3,8
B.1.427/9,IVIG,6,0,0,Tang21,1.5,6
B.1.427/9,NVV,15,8,0,Shen21b,2.3,23
B.1.427/9,mRNA-1273,7,1,0,Deng21,2,8
B.1.427/9,mRNA-1273,3,1,0,Garcia-Beltran21,2.6,4
B.1.427/9,mRNA-1273,6,2,3,McCallum21b,2.6,11
B.1.427/9,mRNA-1273,20,6,0,Shen21b,2.3,26
P.1,AZD1222,17,7,1,Dejnirattisai21*,2.7,25
P.1,BNT162b2,12,3,0,Chen21*,2.2,15
P.1,BNT162b2,14,10,0,Dejnirattisai21*,2.8,24
P.1,BNT162b2,0,0,22,Garcia-Beltran21,15.1,22
P.1,BNT162b2,7,7,1,Hoffmann21,4,15
P.1,BNT162b2,12,1,0,McCallum21b,1.9,13
P.1,BNT162b2,8,1,1,Wang21d,1.9,10
P.1,BNT162b2_infected,4,1,0,McCallum21b,1,5
P.1,CP,7,2,1,Chen21*,2.1,10
P.1,CP,18,14,2,Dejnirattisai21*,3,34
P.1,CP,2,6,1,Hoffmann21,6.1,9
P.1,CP,4,2,1,Tang21,2.9,7
P.1,CP,12,7,1,Wang21d,2.5,20
P.1,CP,15,5,0,Wang21f,2.0,20
P.1,IVIG,2,4,0,Tang21,4.1,6
P.1,mRNA-1273,0,0,3,Garcia-Beltran21,19,3
P.1,mRNA-1273,5,7,0,Wang21d,3.4,12
