variant,rx_name,susc,month,infection,num_study,num_result
Gamma,CP,S,1,infected,13,110
Gamma,CP,I,1,infected,13,80
Gamma,CP,R,1,infected,13,35
Gamma,CP,S,>=2,infected,8,289
Gamma,CP,I,>=2,infected,8,52
Gamma,CP,R,>=2,infected,8,31
Gamma,mRNA-1273,S,1,naive,4,20
Gamma,mRNA-1273,I,1,naive,4,34
Gamma,mRNA-1273,R,1,naive,4,3
Gamma,mRNA-1273,S,>=2,naive,0,0
Gamma,mRNA-1273,I,>=2,naive,0,0
Gamma,mRNA-1273,R,>=2,naive,0,0
Gamma,mRNA-1273,S,1,infected,1,5
Gamma,mRNA-1273,I,1,infected,1,9
Gamma,mRNA-1273,R,1,infected,1,1
Gamma,BNT162b2,S,1,naive,12,131
Gamma,BNT162b2,I,1,naive,12,54
Gamma,BNT162b2,R,1,naive,12,1
Gamma,BNT162b2,S,>=2,naive,0,0
Gamma,BNT162b2,I,>=2,naive,0,0
Gamma,BNT162b2,R,>=2,naive,0,0
Gamma,BNT162b2,S,1,infected,1,4
Gamma,BNT162b2,I,1,infected,1,1
Gamma,BNT162b2,R,1,infected,1,0
Gamma,CoronaVac,S,>=2,naive,2,69
Gamma,CoronaVac,I,>=2,naive,2,34
Gamma,CoronaVac,R,>=2,naive,2,4
Gamma,CoronaVac,S,1,naive,1,30
Gamma,CoronaVac,I,1,naive,1,20
Gamma,CoronaVac,R,1,naive,1,24
Gamma,Ad26.COV2.S,S,>=2,naive,3,21
Gamma,Ad26.COV2.S,I,>=2,naive,3,10
Gamma,Ad26.COV2.S,R,>=2,naive,3,4
Gamma,Ad26.COV2.S,S,1,naive,1,3
Gamma,Ad26.COV2.S,I,1,naive,1,3
Gamma,Ad26.COV2.S,R,1,naive,1,4
Gamma,AZD1222,S,1,naive,2,18
Gamma,AZD1222,I,1,naive,2,8
Gamma,AZD1222,R,1,naive,2,32
Gamma,AZD1222 + BNT162b2,S,1,naive,1,0
Gamma,AZD1222 + BNT162b2,I,1,naive,1,1
Gamma,AZD1222 + BNT162b2,R,1,naive,1,53
Gamma,Sputnik V,S,>=2,naive,2,23
Gamma,Sputnik V,I,>=2,naive,2,22
Gamma,Sputnik V,R,>=2,naive,2,4
Gamma,Sputnik V,S,1,naive,1,2
Gamma,Sputnik V,I,1,naive,1,17
Gamma,Sputnik V,R,1,naive,1,16
Alpha,CP,S,1,infected,27,640
Alpha,CP,I,1,infected,27,128
Alpha,CP,R,1,infected,27,28
Alpha,CP,S,>=2,infected,21,624
Alpha,CP,I,>=2,infected,21,90
Alpha,CP,R,>=2,infected,21,14
Alpha,mRNA-1273,S,1,naive,11,145
Alpha,mRNA-1273,I,1,naive,11,18
Alpha,mRNA-1273,R,1,naive,11,0
Alpha,mRNA-1273,S,>=2,naive,1,7
Alpha,mRNA-1273,I,>=2,naive,1,0
Alpha,mRNA-1273,R,>=2,naive,1,0
Alpha,mRNA-1273,S,1,infected,1,14
Alpha,mRNA-1273,I,1,infected,1,0
Alpha,mRNA-1273,R,1,infected,1,1
Alpha,BNT162b2,S,1,naive,30,715
Alpha,BNT162b2,I,1,naive,30,157
Alpha,BNT162b2,R,1,naive,30,4
Alpha,BNT162b2,S,>=2,naive,3,65
Alpha,BNT162b2,I,>=2,naive,3,14
Alpha,BNT162b2,R,>=2,naive,3,0
Alpha,BNT162b2,S,1,infected,5,67
Alpha,BNT162b2,I,1,infected,5,2
Alpha,BNT162b2,R,1,infected,5,0
Alpha,CoronaVac,S,>=2,naive,1,52
Alpha,CoronaVac,I,>=2,naive,1,20
Alpha,CoronaVac,R,>=2,naive,1,3
Alpha,CoronaVac,S,1,naive,1,15
Alpha,CoronaVac,I,1,naive,1,4
Alpha,CoronaVac,R,1,naive,1,6
Alpha,Ad26.COV2.S,S,>=2,naive,4,42
Alpha,Ad26.COV2.S,I,>=2,naive,4,1
Alpha,Ad26.COV2.S,R,>=2,naive,4,2
Alpha,Ad26.COV2.S,S,1,naive,1,5
Alpha,Ad26.COV2.S,I,1,naive,1,2
Alpha,Ad26.COV2.S,R,1,naive,1,3
Alpha,AZD1222,S,1,naive,3,28
Alpha,AZD1222,I,1,naive,3,34
Alpha,AZD1222,R,1,naive,3,45
Alpha,AZD1222,S,>=2,naive,1,20
Alpha,AZD1222,I,>=2,naive,1,0
Alpha,AZD1222,R,>=2,naive,1,0
Alpha,AZD1222 + BNT162b2,S,1,naive,1,0
Alpha,AZD1222 + BNT162b2,I,1,naive,1,38
