variant,rx_name,level,month,infection,num_study,num_result
B,CP,low,1,infected,23,78
B,CP,middle,1,infected,23,52
B,CP,high,1,infected,23,496
B,CP,low,>=2,infected,14,60
B,CP,middle,>=2,infected,14,51
B,CP,high,>=2,infected,14,429
B,CoronaVac,low,>=2,naive,2,43
B,CoronaVac,middle,>=2,naive,2,93
B,CoronaVac,high,>=2,naive,2,180
B,CoronaVac,low,1,naive,2,22
B,CoronaVac,middle,1,naive,2,20
B,CoronaVac,high,1,naive,2,20
B,BNT162b2,low,>=2,naive,3,1
B,BNT162b2,middle,>=2,naive,3,1
B,BNT162b2,high,>=2,naive,3,125
B,BNT162b2,low,1,naive,19,9
B,BNT162b2,middle,1,naive,19,21
B,BNT162b2,high,1,naive,19,498
B,BNT162b2,low,1,infected,4,0
B,BNT162b2,middle,1,infected,4,1
B,BNT162b2,high,1,infected,4,67
B,AZD1222,low,1,naive,7,8
B,AZD1222,middle,1,naive,7,14
B,AZD1222,high,1,naive,7,197
B,AZD1222,low,>=2,naive,1,0
B,AZD1222,middle,>=2,naive,1,0
B,AZD1222,high,>=2,naive,1,5
B,AZD1222 + BNT162b2,low,1,naive,2,0
B,AZD1222 + BNT162b2,middle,1,naive,2,1
B,AZD1222 + BNT162b2,high,1,naive,2,64
B,Sputnik V,low,>=2,naive,2,7
B,Sputnik V,middle,>=2,naive,2,4
B,Sputnik V,high,>=2,naive,2,69
B,Sputnik V,low,1,naive,2,0
B,Sputnik V,middle,1,naive,2,4
B,Sputnik V,high,1,naive,2,73
B,ZF2001,low,1,naive,1,0
B,ZF2001,middle,1,naive,1,5
B,ZF2001,high,1,naive,1,7
B,BBIBP-CorV,low,1,naive,2,10
B,BBIBP-CorV,middle,1,naive,2,17
B,BBIBP-CorV,high,1,naive,2,10
B,MVC-COV1901,low,1,naive,1,0
B,MVC-COV1901,middle,1,naive,1,0
B,MVC-COV1901,high,1,naive,1,45
B,mRNA-1273,low,1,naive,4,3
B,mRNA-1273,middle,1,naive,4,4
B,mRNA-1273,high,1,naive,4,26
B,mRNA-1273,low,>=2,naive,1,0
B,mRNA-1273,middle,>=2,naive,1,1
B,mRNA-1273,high,>=2,naive,1,32
B,mRNA-1273,low,1,infected,1,0
B,mRNA-1273,middle,1,infected,1,0
B,mRNA-1273,high,1,infected,1,3
B,AZD1222 + AZD2816,low,>=2,naive,1,0
B,AZD1222 + AZD2816,middle,>=2,naive,1,0
B,AZD1222 + AZD2816,high,>=2,naive,1,6
B.1,CP,low,1,infected,37,102
