variant,rx_name,level,month,infection,num_study,num_result
B.1,CP,low,1,infected,41,118
B.1,CP,middle,1,infected,41,121
B.1,CP,high,1,infected,41,677
B.1,CP,low,>=2,infected,28,59
B.1,CP,middle,>=2,infected,28,68
B.1,CP,high,>=2,infected,28,511
B.1,mRNA-1273,low,1,naive,22,7
B.1,mRNA-1273,middle,1,naive,22,30
B.1,mRNA-1273,high,1,naive,22,621
B.1,mRNA-1273,low,>=2,naive,4,0
B.1,mRNA-1273,middle,>=2,naive,4,0
B.1,mRNA-1273,high,>=2,naive,4,74
B.1,BNT162b2,low,1,naive,43,22
B.1,BNT162b2,middle,1,naive,43,50
B.1,BNT162b2,high,1,naive,43,966
B.1,BNT162b2,low,>=2,naive,5,2
B.1,BNT162b2,middle,>=2,naive,5,4
B.1,BNT162b2,high,>=2,naive,5,117
B.1,BNT162b2,low,1,infected,5,0
B.1,BNT162b2,middle,1,infected,5,0
B.1,BNT162b2,high,1,infected,5,40
B.1,CoronaVac,low,>=2,naive,2,30
B.1,CoronaVac,middle,>=2,naive,2,35
B.1,CoronaVac,high,>=2,naive,2,54
B.1,CoronaVac,low,1,naive,2,11
B.1,CoronaVac,middle,1,naive,2,24
B.1,CoronaVac,high,1,naive,2,10
B.1,Ad26.COV2.S,low,>=2,naive,4,2
B.1,Ad26.COV2.S,middle,>=2,naive,4,11
B.1,Ad26.COV2.S,high,>=2,naive,4,32
B.1,Ad26.COV2.S,low,1,naive,4,20
B.1,Ad26.COV2.S,middle,1,naive,4,20
B.1,Ad26.COV2.S,high,1,naive,4,26
B.1,Ad26.COV2.S,low,1,infected,1,1
B.1,Ad26.COV2.S,middle,1,infected,1,1
B.1,Ad26.COV2.S,high,1,infected,1,37
B.1,ZF2001,low,1,naive,2,0
B.1,ZF2001,middle,1,naive,2,7
B.1,ZF2001,high,1,naive,2,7
B.1,BBIBP-CorV,low,1,naive,2,6
B.1,BBIBP-CorV,middle,1,naive,2,16
B.1,BBIBP-CorV,high,1,naive,2,15
B.1,Sputnik V,low,1,naive,2,30
B.1,Sputnik V,middle,1,naive,2,13
B.1,Sputnik V,high,1,naive,2,21
B.1,Sputnik V,low,>=2,naive,1,31
B.1,Sputnik V,middle,>=2,naive,1,9
B.1,Sputnik V,high,>=2,naive,1,12
B.1,MVC-COV1901,low,1,naive,1,0
B.1,MVC-COV1901,middle,1,naive,1,7
B.1,MVC-COV1901,high,1,naive,1,38
B.1,AZD1222,low,1,naive,5,10
B.1,AZD1222,middle,1,naive,5,60
B.1,AZD1222,high,1,naive,5,135
B.1,AZD1222,low,>=2,naive,1,0
B.1,AZD1222,middle,>=2,naive,1,1
B.1,AZD1222,high,>=2,naive,1,19
B.1,AZD1222,low,1,infected,2,0
B.1,AZD1222,middle,1,infected,2,0
B.1,AZD1222,high,1,infected,2,37
B.1,BBV152,low,>=2,naive,2,1
B.1,BBV152,middle,>=2,naive,2,19
B.1,BBV152,high,>=2,naive,2,50
B.1,BBV152,low,1,naive,2,3
B.1,BBV152,middle,1,naive,2,11
B.1,BBV152,high,1,naive,2,41
B.1,NVX-CoV2373,low,1,naive,2,0
B.1,NVX-CoV2373,middle,1,naive,2,0
B.1,NVX-CoV2373,high,1,naive,2,51
B,CP,low,1,infected,27,79
B,CP,middle,1,infected,27,53
B,CP,high,1,infected,27,698
