iso_name,rx_name,titer,month,infection,num_result,variant
B.1,CP,97.0,1,infected,1,B.1
B.1,CP,74.0,1,infected,1,B.1
B.1,CP,81.0,1,infected,1,B.1
B.1,CP,71.0,1,infected,1,B.1
B.1,CP,43.0,1,infected,1,B.1
B.1,CP,573.0,1,infected,1,B.1
B.1,CP,621.0,1,infected,1,B.1
B.1,CP,120.0,1,infected,1,B.1
B.1,CP,954.0,1,infected,1,B.1
B.1,CP,581.0,1,infected,1,B.1
B.1,CP,783.0,1,infected,1,B.1
B.1,CP,167.0,1,infected,1,B.1
B.1,CP,729.0,1,infected,1,B.1
B.1,CP,641.0,1,infected,1,B.1
B.1,CP,1668.0,1,infected,1,B.1
B.1,CP,684.0,1,infected,1,B.1
B,CP,57.0,1,infected,1,B
Alpha,CP,84.0,1,infected,1,Alpha
B,CP,71.0,1,infected,1,B
Alpha,CP,70.0,1,infected,1,Alpha
B,CP,87.0,1,infected,1,B
B,CP,53.0,1,infected,1,B
B,CP,76.0,1,infected,1,B
B,CP,924.0,1,infected,1,B
Alpha,CP,123.0,1,infected,1,Alpha
B,CP,854.0,1,infected,1,B
Alpha,CP,527.0,1,infected,1,Alpha
Beta,CP,41.0,1,infected,1,Beta
B,CP,117.0,1,infected,1,B
Alpha,CP,53.0,1,infected,1,Alpha
B,CP,946.0,1,infected,1,B
Alpha,CP,241.0,1,infected,1,Alpha
Beta,CP,339.0,1,infected,1,Beta
Gamma,CP,161.0,1,infected,1,Gamma
B,CP,769.0,1,infected,1,B
Alpha,CP,283.0,1,infected,1,Alpha
Beta,CP,40.0,1,infected,1,Beta
B,CP,1248.0,1,infected,1,B
Alpha,CP,663.0,1,infected,1,Alpha
Beta,CP,226.0,1,infected,1,Beta
Gamma,CP,137.0,1,infected,1,Gamma
B,CP,263.0,1,infected,1,B
Alpha,CP,217.0,1,infected,1,Alpha
Beta,CP,66.0,1,infected,1,Beta
Gamma,CP,32.0,1,infected,1,Gamma
B.1,CP,39.0,1,infected,1,B.1
B.1,CP,64.0,1,infected,1,B.1
B.1,CP,80.0,1,infected,1,B.1
B.1,CP,89.0,1,infected,1,B.1
B.1,CP,226.0,1,infected,1,B.1
B.1,CP,448.0,1,infected,1,B.1
B.1,CP,77.0,1,infected,1,B.1
B.1,CP,491.0,1,infected,1,B.1
