iso_name,rx_name,ref_name,fold,titer,month,infection,num_result,variant
B,CP,Alenquer21,1.7,57.0,1,infected,1,B
Alpha,CP,Alenquer21,1.2,84.0,1,infected,1,Alpha
Beta,CP,Alenquer21,6.5,15.0,1,infected,1,Beta
Gamma,CP,Alenquer21,6.5,15.0,1,infected,1,Gamma
B,CP,Alenquer21,1.0,71.0,1,infected,1,B
Alpha,CP,Alenquer21,1.1,70.0,1,infected,1,Alpha
Beta,CP,Alenquer21,4.9,15.0,1,infected,1,Beta
Gamma,CP,Alenquer21,4.9,15.0,1,infected,1,Gamma
B,CP,Alenquer21,0.9,87.0,1,infected,1,B
Alpha,CP,Alenquer21,5.4,15.0,1,infected,1,Alpha
Beta,CP,Alenquer21,5.4,15.0,1,infected,1,Beta
Gamma,CP,Alenquer21,5.4,15.0,1,infected,1,Gamma
B,CP,Alenquer21,1.3,53.0,1,infected,1,B
Alpha,CP,Alenquer21,4.7,15.0,1,infected,1,Alpha
Beta,CP,Alenquer21,4.7,15.0,1,infected,1,Beta
Gamma,CP,Alenquer21,4.7,15.0,1,infected,1,Gamma
B,CP,Alenquer21,0.6,76.0,1,infected,1,B
Alpha,CP,Alenquer21,2.9,15.0,1,infected,1,Alpha
Beta,CP,Alenquer21,2.9,15.0,1,infected,1,Beta
Gamma,CP,Alenquer21,2.9,15.0,1,infected,1,Gamma
B,CP,Alenquer21,0.6,924.0,1,infected,1,B
Alpha,CP,Alenquer21,4.7,123.0,1,infected,1,Alpha
Beta,CP,Alenquer21,38.2,15.0,1,infected,1,Beta
Gamma,CP,Alenquer21,38.2,15.0,1,infected,1,Gamma
B,CP,Alenquer21,0.7,854.0,1,infected,1,B
Alpha,CP,Alenquer21,1.2,527.0,1,infected,1,Alpha
Beta,CP,Alenquer21,15.1,41.0,1,infected,1,Beta
Gamma,CP,Alenquer21,41.4,15.0,1,infected,1,Gamma
B,CP,Alenquer21,1.0,117.0,1,infected,1,B
Alpha,CP,Alenquer21,2.3,53.0,1,infected,1,Alpha
Beta,CP,Alenquer21,8.0,15.0,1,infected,1,Beta
Gamma,CP,Alenquer21,8.0,15.0,1,infected,1,Gamma
B,CP,Alenquer21,1.0,946.0,1,infected,1,B
Alpha,CP,Alenquer21,4.0,241.0,1,infected,1,Alpha
Beta,CP,Alenquer21,2.8,339.0,1,infected,1,Beta
Gamma,CP,Alenquer21,5.9,161.0,1,infected,1,Gamma
B,CP,Alenquer21,0.8,769.0,1,infected,1,B
Alpha,CP,Alenquer21,2.1,283.0,1,infected,1,Alpha
Beta,CP,Alenquer21,14.5,40.0,1,infected,1,Beta
Gamma,CP,Alenquer21,38.7,15.0,1,infected,1,Gamma
B,CP,Alenquer21,0.6,1248.0,1,infected,1,B
Alpha,CP,Alenquer21,1.2,663.0,1,infected,1,Alpha
Beta,CP,Alenquer21,3.5,226.0,1,infected,1,Beta
Gamma,CP,Alenquer21,5.7,137.0,1,infected,1,Gamma
B,CP,Alenquer21,0.6,263.0,1,infected,1,B
Alpha,CP,Alenquer21,0.8,217.0,1,infected,1,Alpha
Beta,CP,Alenquer21,2.5,66.0,1,infected,1,Beta
Gamma,CP,Alenquer21,5.2,32.0,1,infected,1,Gamma
B.1,CP,Andreano21,3.0,5.0,1,infected,1,B.1
B.1,CP,Andreano21,1.3,480.0,1,infected,1,B.1
B.1,CP,Andreano21,1.0,10240.0,1,infected,1,B.1
B.1,CP,Andreano21,2.0,30.0,1,infected,1,B.1
B.1,CP,Andreano21,2.7,30.0,1,infected,1,B.1
B.1,CP,Andreano21,3.0,320.0,1,infected,1,B.1
B.1,CP,Andreano21,8.0,5.0,1,infected,1,B.1
B.1,CP,Andreano21,2.0,320.0,1,infected,1,B.1
B.1,CP,Andreano21,3.0,40.0,1,infected,1,B.1
B.1,CP,Andreano21,1.5,80.0,1,infected,1,B.1
B.1,CP,Andreano21,3.0,5.0,1,infected,1,B.1
B.1,CP,Andreano21,2.0,320.0,1,infected,1,B.1
B.1,CP,Andreano21,1.0,5.0,1,infected,1,B.1
B.1,CP,Andreano21,1.0,5.0,1,infected,1,B.1
B.1,CP,Andreano21,1.0,5.0,1,infected,1,B.1
B.1,CP,Andreano21,4.0,5.0,1,infected,1,B.1
B.1,CP,Andreano21,1.5,80.0,1,infected,1,B.1
B.1,CP,Andreano21,6.0,20.0,1,infected,1,B.1
B.1,CP,Andreano21,2.7,30.0,1,infected,1,B.1
B.1,CP,Andreano21,2.0,60.0,1,infected,1,B.1
Delta,CP,Arora21,1.8,1073.0,1,infected,1,Delta
Beta,CP,Arora21,3.6,529.0,1,infected,1,Beta
Delta,CP,Arora21,1.1,3888.0,1,infected,1,Delta
Beta,CP,Arora21,16.8,256.0,1,infected,1,Beta
Delta,CP,Arora21,2.7,578.0,1,infected,1,Delta
Beta,CP,Arora21,11.9,130.0,1,infected,1,Beta
Delta,CP,Arora21,1.0,1600.0,1,infected,1,Delta
Beta,CP,Arora21,14.7,109.0,1,infected,1,Beta
Delta,CP,Arora21,2.1,398.0,1,infected,1,Delta
Beta,CP,Arora21,5.3,157.0,1,infected,1,Beta
Delta,CP,Arora21,4.2,1134.0,1,infected,1,Delta
Beta,CP,Arora21,20.4,234.0,1,infected,1,Beta
Delta,CP,Arora21,1.5,1556.0,1,infected,1,Delta
Beta,CP,Arora21,1.3,1788.0,1,infected,1,Beta
Delta,CP,Arora21,1.8,412.0,1,infected,1,Delta
Beta,CP,Arora21,1.5,486.0,1,infected,1,Beta
Alpha,CP,Bates21,0.8,2276.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.5,3728.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.2,280.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.1,358.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.9,8840.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.8,10000.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.1,7814.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.1,6907.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.1,7848.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,358.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.2,1572.0,>=2,infected,1,Beta
Alpha,CP,Bates21,954.2,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,4771.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.4,848.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.3,1228.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,4833.0,>=2,infected,1,Alpha
Beta,CP,Bates21,966.6,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,467.2,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,467.2,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1221.0,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,6105.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.5,7814.0,>=2,infected,1,Alpha
Beta,CP,Bates21,745.6,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.6,616.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.2,4833.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.2,2913.0,>=2,infected,1,Alpha
