ref_name,rx_name,resistance,potency,num_fold
Liu21,1B07,partial-resistance,IC50,6
Liu21,1B07,resistant,IC50,7
Liu21,1B07,susceptible,IC50,16
Liu21,2B04,partial-resistance,IC50,11
Liu21,2B04,resistant,IC50,4
Liu21,2B04,susceptible,IC50,14
Liu21,2H04,partial-resistance,IC50,9
Liu21,2H04,resistant,IC50,9
Liu21,2H04,susceptible,IC50,11
Liu21,SARS2-01,partial-resistance,IC50,8
Liu21,SARS2-01,resistant,IC50,16
Liu21,SARS2-01,susceptible,IC50,5
Liu21,SARS2-02,partial-resistance,IC50,12
Liu21,SARS2-02,resistant,IC50,9
Liu21,SARS2-02,susceptible,IC50,8
Liu21,SARS2-07,partial-resistance,IC50,10
Liu21,SARS2-07,resistant,IC50,11
Liu21,SARS2-07,susceptible,IC50,8
Liu21,SARS2-16,partial-resistance,IC50,15
Liu21,SARS2-16,resistant,IC50,11
Liu21,SARS2-16,susceptible,IC50,3
Liu21,SARS2-19,partial-resistance,IC50,14
Liu21,SARS2-19,resistant,IC50,9
Liu21,SARS2-19,susceptible,IC50,6
Liu21,SARS2-32,partial-resistance,IC50,9
Liu21,SARS2-32,resistant,IC50,12
Liu21,SARS2-32,susceptible,IC50,8
Liu21,SARS2-38,partial-resistance,IC50,4
Liu21,SARS2-38,resistant,IC50,10
Liu21,SARS2-38,susceptible,IC50,15
